TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0029917	73.5764	100.8262	61.29522	71.07674
0.006981	73.21534	100.4681	61.33489	71.34937
0.0344891	72.85428	100.0702	61.6126	71.85567
0.0357009	72.85428	100.0702	61.6126	71.85567
0.0367025	72.73392	99.71211	62.36639	72.36197
0.059359	72.09203	99.15506	62.08868	72.5567
0.0606798	72.09203	99.15506	62.08868	72.5567
0.0834281	72.45309	98.83675	62.52509	72.94616
0.1030855	72.45309	98.83675	62.52509	72.94616
0.1343282	71.77109	97.5237	62.72345	74.19244
0.1343282	72.17227	97.48391	63.35823	74.46507
0.1343282	72.17227	97.48391	63.35823	74.46507
0.1499392	71.16932	97.08601	63.15986	74.73769
0.1499392	71.16932	97.08601	63.15986	74.73769
0.1811881	71.45015	96.84728	63.59627	74.97137
0.1811881	71.61062	96.88707	63.95333	74.97137
0.1811881	71.61062	96.88707	63.95333	74.97137
0.1968153	70.76814	96.72791	63.59627	75.16609
0.1968153	71.16932	96.60854	63.87398	74.97137
0.2280477	71.16932	96.60854	63.87398	74.97137
0.2280477	70.72803	96.80749	63.75496	75.36082
0.2280477	70.72803	96.80749	63.75496	75.36082
0.2592884	71.00885	96.3698	64.31039	75.36082
0.2592884	70.96873	96.52896	64.50875	75.75029
0.2748968	70.96873	96.52896	64.50875	75.75029
0.2748968	70.4472	96.25044	64.50875	75.78923
0.3061599	70.80826	95.89233	65.1832	75.86713
0.3061599	70.0059	95.25571	64.94516	76.1008
0.3217854	70.0059	95.25571	64.94516	76.1008
0.3217854	69.72507	94.93739	65.34189	75.94501
0.3530165	70.16637	94.73844	64.98483	76.02291
0.3530165	70.16637	94.73844	64.98483	76.02291
0.3842637	70.32684	95.45465	65.30222	76.02291
0.3842637	70.32684	95.45465	65.30222	76.02291
0.3842637	70.40708	95.65359	64.94516	76.1008
0.3998853	70.40708	95.65359	64.94516	76.1008
0.3998853	70.32684	95.77296	64.78646	76.29553
0.4312383	70.52744	96.3698	64.74679	75.94501
0.4312383	70.52744	96.3698	64.74679	75.94501
0.447021	70.64779	96.17086	65.65928	76.1008
0.447021	70.32684	95.65359	64.54842	75.90607
0.4622686	70.32684	95.65359	64.54842	75.90607
0.4782323	69.88554	95.81276	64.42941	76.1008
0.4782323	69.88554	95.81276	64.42941	76.1008
0.5092244	70.08614	95.49444	64.90549	75.98396
0.5092244	69.84543	95.73318	64.74679	76.1787
0.5092244	69.84543	95.73318	64.74679	76.1787
0.5251257	69.72507	95.45465	65.22287	76.33448
0.5251257	69.52448	95.29549	65.38156	76.45132
0.5561883	69.52448	95.29549	65.38156	76.45132
0.5561883	69.72507	95.13634	65.50058	76.72394
0.5561883	69.72507	95.13634	65.50058	76.72394
0.5719854	69.20354	94.77824	65.42123	77.34708
0.5872394	69.40413	94.34055	65.89732	77.54181
0.6031894	69.40413	94.34055	65.89732	77.54181
0.6031894	68.8826	94.34055	65.46091	77.73654
0.6031894	69.00295	93.74371	66.33372	77.69759
0.6342547	69.00295	93.74371	66.33372	77.69759
0.6342547	68.80236	93.58455	66.57176	78.16495
0.6498537	68.80236	93.58455	66.57176	78.16495
0.6498537	68.60177	93.86308	65.89732	78.04811
0.6498537	68.64189	94.02223	65.97666	78.04811
0.6811921	68.64189	94.02223	65.97666	78.04811
0.6811921	69.32389	93.94266	66.61143	77.73654
0.6811921	69.32389	93.94266	66.61143	77.73654
0.6969524	68.92271	94.65887	65.22287	77.30814
0.6969524	69.44424	95.41486	66.05601	76.99657
0.7435475	69.44424	95.41486	66.05601	76.99657
0.7435475	70.32684	96.0117	65.61961	76.33448
0.7435475	70.6879	96.84728	64.1517	75.55556
0.7750696	71.04897	97.40433	64.03267	75.16609
0.7750696	71.1292	97.56348	63.3979	74.69874
0.8061931	71.81121	97.60328	63.95333	74.1535
0.8061931	71.81121	97.60328	63.95333	74.1535
0.8061931	71.77109	97.72265	63.23921	74.03665
0.8216548	71.69086	98.16032	63.27888	73.60825
0.8216548	71.69086	98.16032	63.27888	73.60825
0.8531733	72.29263	98.39906	63.55659	73.45246
0.8531733	72.25251	98.23991	63.75496	73.45246
0.8531733	72.25251	98.23991	63.75496	73.45246
0.8841917	72.25251	98.47865	63.79463	73.64719
0.8841917	72.25251	98.47865	63.79463	73.64719
0.9000388	72.57345	98.35928	63.79463	73.29668
0.9000388	72.6938	98.31949	63.43757	73.25773
0.9153711	72.6938	98.31949	63.43757	73.25773
0.931191	72.33274	98.23991	64.19137	73.14089
0.931191	72.49322	98.16032	64.19137	73.49141
0.946632	72.49322	98.16032	64.19137	73.49141
0.9622346	72.45309	97.64307	63.993	73.72508
0.9622346	72.45309	97.64307	63.993	73.72508
0.9781447	71.45015	97.24517	64.23104	73.60825
0.9781447	71.49026	96.7677	63.993	74.03665
1.0087257	71.49026	96.7677	63.993	74.03665
