TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0039905	74.459	82.08543	69.85383	77.73654
0.0049877	74.459	82.08543	69.85383	77.73654
0.0308265	74.17817	81.72733	69.7355	77.81443
0.0318289	73.5764	81.24986	69.93272	78.16495
0.0565101	73.93746	81.0509	70.12993	78.28178
0.0575566	73.65664	81.0509	70.16937	78.126
0.0640156	73.65664	81.0509	70.16937	78.126
0.066175	73.5764	81.01112	70.5638	78.47652
0.0817974	73.5764	81.01112	70.5638	78.47652
0.0976365	73.49616	80.97133	70.44547	78.39863
0.0976365	73.49616	80.77238	70.68214	78.6323
0.1288164	73.49616	80.77238	70.68214	78.6323
0.1288164	73.85722	80.73259	70.76102	78.78809
0.1444382	73.45605	80.57343	71.19489	79.33334
0.1444382	73.37581	80.29491	71.35267	79.83963
0.1756851	73.37581	80.29491	71.35267	79.83963
0.1756851	73.41593	80.41428	71.43156	79.95647
0.1756851	72.93452	79.45934	71.90487	80.34593
0.2067694	72.93452	79.45934	71.90487	80.34593
0.2067694	72.41298	78.98186	71.86543	80.50172
0.2225388	72.29263	78.42481	72.2993	80.50172
0.2225388	72.29263	78.42481	72.2993	80.50172
0.2225388	72.0118	78.38502	72.2993	80.50172
0.2537807	72.13216	78.38502	72.2993	80.50172
0.2537807	72.13216	77.94733	72.49652	80.6575
0.2693795	71.93156	77.78818	73.04872	81.1638
0.2693795	71.93156	77.78818	73.04872	81.1638
0.2849995	72.17227	77.58923	73.44315	81.04697
0.300503	71.73097	77.35049	73.67982	81.51432
0.300503	71.73097	77.35049	73.67982	81.51432
0.3317431	71.49026	77.03218	73.79814	81.86484
0.3317431	71.73097	76.67408	74.11369	82.02062
0.3317431	71.73097	76.67408	74.11369	82.02062
0.3475038	71.20944	76.5945	74.54756	82.21535
0.3475038	71.20944	76.5945	74.54756	82.21535
0.3787696	70.8885	76.19661	74.62645	82.60481
0.3787696	70.8885	75.79871	74.74478	82.52692
0.394367	71.08909	75.59977	74.70534	82.6827
0.394367	70.92861	75.75893	74.46867	82.48798
0.4256798	70.92861	75.75893	74.46867	82.48798
0.4256798	71.1292	75.79871	74.15313	82.64376
0.4256798	71.1292	75.79871	74.15313	82.64376
0.4567119	71.24956	75.91808	74.23202	82.33219
0.4567119	71.53038	75.87829	74.54756	82.2543
0.4725421	71.53038	75.87829	74.54756	82.2543
0.4725421	71.28967	76.07724	74.62645	82.33219
0.5037276	71.53038	75.99766	74.66589	82.33219
0.5037276	71.49026	75.79871	74.86311	82.72165
0.5195484	71.49026	75.79871	74.86311	82.72165
0.5195484	71.36991	75.91808	74.58701	82.37113
0.5505871	71.36991	75.8385	74.98144	82.6827
0.5505871	71.36991	75.8385	74.98144	82.6827
0.5505871	71.49026	75.55997	74.82367	82.41008
0.5816813	71.45015	75.75893	74.78423	82.21535
0.5816813	71.45015	75.75893	74.78423	82.21535
0.597544	71.93156	75.75893	74.86311	82.17641
0.597544	71.93156	75.75893	74.86311	82.17641
0.597544	72.17227	76.03745	74.35035	81.78694
0.628699	72.41298	75.99766	74.15313	81.78694
0.628699	72.41298	75.99766	74.15313	81.78694
0.6445452	72.21239	76.27618	74.23202	81.78694
0.6445452	72.29263	76.31597	74.27146	81.86484
0.6445452	72.29263	76.31597	74.27146	81.86484
0.6755529	72.25251	76.39555	73.95592	81.82589
0.6755529	72.25251	76.39555	73.95592	81.82589
0.7066511	72.37286	76.5945	74.11369	81.59221
0.7066511	72.53333	76.5945	73.99536	81.63116
0.7066511	72.53333	76.5945	73.99536	81.63116
0.7225409	72.29263	76.11703	73.79814	81.35854
0.7225409	72.53333	76.2364	73.67982	81.39748
0.753658	72.53333	76.2364	73.67982	81.39748
0.753658	72.81416	76.63429	73.64037	81.08591
0.753658	72.81416	76.63429	73.64037	81.08591
0.7695402	73.05487	76.75365	73.79814	81.00802
0.7695402	73.1351	77.15155	73.64037	80.77434
0.8005456	73.1351	77.15155	73.64037	80.77434
0.8005456	73.37581	77.54945	73.60093	80.7354
0.831622	73.37581	77.62902	73.44315	80.34593
0.831622	73.25546	77.7086	73.16705	80.26804
0.847543	73.5764	77.94733	72.77262	80.26804
0.847543	73.5764	77.94733	72.77262	79.76174
0.847543	74.0177	78.30544	72.65429	79.48912
0.8786405	74.0177	78.30544	72.65429	79.48912
0.8786405	74.05782	78.78291	72.53596	79.37228
0.894528	74.69971	78.98186	72.2993	78.98282
0.894528	74.69971	78.98186	72.2993	78.98282
0.9101231	75.02065	79.5787	71.78654	78.28178
0.9255478	75.14101	79.69807	71.78654	78.126
0.9255478	75.14101	79.69807	71.78654	78.126
0.9565925	75.42183	79.97659	71.43156	77.61971
0.9565925	75.42183	79.97659	71.43156	77.61971
0.9725472	75.54218	80.53365	71.23434	76.95762
0.9725472	75.82301	80.73259	70.76102	76.685
1.0060242	75.90324	81.01112	70.76102	76.45132
1.0070241	76.4649	81.36922	70.44547	75.82818
1.0314903	76.4649	81.36922	70.44547	75.82818
1.0327279	77.1469	81.96606	70.05104	75.55556
1.0338513	77.1469	81.96606	70.05104	75.55556
1.0565074	77.10678	82.52311	69.93272	75.12715
1.057748	77.30737	82.84143	69.69605	75.01031
1.0770418	77.30737	82.84143	69.69605	75.01031
1.0770418	77.54808	83.19953	69.30162	74.85452
1.0770418	77.54808	83.04037	69.26218	74.19244
1.1239514	77.54808	83.04037	69.26218	74.19244
1.1239514	77.74867	83.04037	69.06496	74.1535
1.1395233	78.0295	83.27911	68.70998	73.91982
1.1395233	78.0295	83.27911	68.70998	73.91982
1.1551465	77.94926	83.23932	68.67053	73.60825
1.1707597	78.23009	83.7168	68.59164	73.76403
1.1707597	78.23009	83.7168	68.59164	73.76403
1.1707597	78.59115	83.75658	68.67053	73.64719
1.2020194	78.59115	84.11469	68.35499	73.33562
1.2020194	78.59115	84.11469	68.35499	73.33562
1.2176363	78.91209	84.35342	68.39443	73.21879
1.2176363	78.91209	84.35342	68.39443	73.21879
1.2330986	79.03245	84.55237	67.84131	73.10194
1.2488954	79.43363	84.63195	67.64294	72.20618
1.2488954	79.43363	84.63195	67.64294	72.20618
1.280131	79.63422	85.38795	67.52392	71.97251
1.280131	80.0354	85.78584	67.80164	71.38831
1.2957436	80.0354	85.78584	67.80164	71.38831
1.2957436	79.87492	85.82563	67.60326	70.76517
1.32699	80.23598	86.10416	67.44457	70.68729
1.32699	80.31622	86.34289	67.24621	70.57045
1.32699	80.31622	86.34289	67.24621	70.57045
1.342593	80.39646	86.701	66.92882	70.1031
1.3581999	80.95811	87.45699	66.92882	69.67468
1.3738334	80.95811	87.45699	66.92882	69.67468
1.3738334	80.87788	88.13341	66.49242	69.40206
1.4050996	81.19882	88.65067	66.33372	69.05154
1.4050996	81.19882	88.65067	66.33372	69.05154
1.4050996	81.07847	88.96899	65.89732	68.93471
1.4207072	81.07847	88.96899	65.89732	68.93471
1.4362208	81.07847	89.24751	65.89732	68.77892
1.4362208	81.07847	89.00877	66.05601	68.58419
1.4519507	81.07847	89.00877	66.05601	68.58419
