TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0079749	70.20649	74.96313	77.07192	82.29324
0.0243354	70.40708	75.28145	77.11137	82.21535
0.0243354	70.4472	75.24166	76.99304	82.21535
0.0243354	70.4472	75.24166	76.99304	82.21535
0.0557521	70.20649	75.36103	76.91415	82.05956
0.0557521	70.2466	75.32124	76.83527	81.74799
0.0713572	70.2466	75.32124	76.83527	81.74799
0.0713572	70.16637	75.24166	76.75638	81.63116
0.088643	70.40708	75.28145	76.20418	81.59221
0.1023768	70.40708	75.28145	76.20418	81.59221
0.1023768	70.72803	75.67934	76.3225	81.55326
0.1336545	70.72803	75.67934	76.3225	81.55326
0.1336545	70.84838	75.67934	76.12529	81.28064
0.1493875	70.96873	75.63956	76.12529	80.96907
0.1493875	70.96873	75.63956	76.12529	80.96907
0.1493875	71.20944	75.99766	76.3225	81.1638
0.1806289	71.41003	76.31597	76.24362	81.20275
0.1806289	71.41003	76.31597	76.24362	81.20275
0.1962465	71.16932	76.27618	76.28307	80.96907
0.1962465	71.16932	76.27618	76.28307	80.96907
0.1962465	71.36991	76.39555	76.12529	81.12486
0.2275031	71.5705	76.75365	75.84919	80.6575
0.2275031	71.5705	76.75365	75.84919	80.6575
0.2588025	71.3298	76.5945	75.73086	80.57961
0.2588025	71.3298	77.07198	75.45476	80.57961
0.2743607	71.53038	76.91281	75.45476	80.30698
0.2743607	71.53038	76.91281	75.45476	80.30698
0.3056099	71.5705	77.07198	74.90255	80.11226
0.3056099	71.77109	77.03218	74.82367	80.19015
0.3056099	71.77109	77.03218	74.82367	80.19015
0.3212878	71.5705	77.11176	74.86311	80.38488
0.3212878	71.77109	77.66882	74.70534	80.03436
0.3525178	71.77109	77.66882	74.70534	80.03436
0.3525178	71.81121	77.62902	74.70534	79.99541
0.3525178	71.81121	77.62902	74.70534	79.99541
0.3835624	72.09203	77.7086	74.50812	79.95647
0.3835624	71.73097	77.58923	74.78423	79.95647
0.3995268	71.73097	77.58923	74.78423	79.95647
0.3995268	71.97168	77.78818	74.38979	80.19015
0.3995268	71.81121	77.74839	74.66589	80.07331
0.4305821	71.81121	77.74839	74.66589	80.07331
0.4305821	72.09203	77.66882	74.58701	80.11226
0.4464703	72.09203	77.66882	74.58701	80.11226
0.4464703	72.17227	77.90755	74.31091	79.56701
0.4464703	72.25251	77.94733	74.07425	79.99541
0.4775151	72.25251	77.94733	74.07425	79.99541
0.4775151	72.17227	78.26566	74.38979	79.76174
0.5085326	72.33274	78.30544	74.31091	79.52806
0.5085326	72.33274	78.30544	74.31091	79.52806
0.5085326	72.41298	78.18607	74.27146	79.41122
0.5245209	72.41298	78.18607	74.27146	79.41122
0.5245209	72.37286	78.02692	74.27146	79.60596
0.5555441	72.41298	78.18607	74.15313	79.52806
0.5555441	72.41298	78.18607	74.15313	79.52806
0.5555441	72.41298	78.1065	74.07425	79.41122
0.5836606	72.41298	78.1065	74.07425	79.41122
0.5847988	72.53333	78.0667	73.7587	79.17755
0.6085157	72.53333	78.42481	74.11369	79.1386
0.6098025	72.53333	78.42481	74.11369	79.1386
0.610978	72.61357	78.38502	73.83759	78.94387
0.6278222	73.09499	78.66354	73.7587	79.06071
0.6278222	73.09499	78.66354	73.7587	79.06071
0.6278222	72.77404	78.78291	73.95592	78.74914
0.6434125	73.1351	79.10123	74.11369	79.02177
0.6589014	73.1351	79.10123	74.11369	79.02177
0.6746712	73.01475	78.8625	73.87703	78.74914
0.6746712	73.01475	78.8625	73.87703	78.74914
0.7059174	72.61357	78.38502	73.64037	78.90492
0.7059174	72.73392	78.4646	73.67982	78.86598
0.7059174	72.73392	78.4646	73.67982	78.86598
0.7215346	72.61357	78.54417	74.15313	78.90492
0.7215346	72.45309	78.22586	74.19257	79.06071
0.7527905	72.45309	78.22586	74.19257	79.06071
0.7527905	72.53333	77.98713	74.38979	79.48912
0.7527905	72.53333	77.98713	74.38979	79.48912
0.7684191	72.17227	77.66882	74.46867	79.09966
0.7838736	72.13216	77.50965	74.78423	79.60596
0.7996398	72.13216	77.50965	74.78423	79.60596
0.7996398	72.0118	77.43008	74.58701	79.72279
0.8308808	71.65073	77.23113	74.98144	79.99541
0.8308808	71.65073	77.23113	74.98144	79.99541
0.8465188	72.21239	76.95261	75.09977	79.83963
0.8465188	72.29263	77.31071	74.90255	79.64491
0.8777705	71.97168	77.03218	74.86311	79.83963
0.8777705	71.97168	77.03218	74.86311	79.83963
0.8777705	71.97168	77.03218	75.37587	79.87858
0.8935227	71.93156	77.11176	75.33643	80.19015
0.9088413	71.93156	77.11176	75.33643	80.19015
0.924619	72.21239	77.39029	75.33643	79.80069
0.924619	72.21239	77.39029	75.33643	79.80069
0.924619	72.17227	77.31071	75.17866	79.72279
0.9558529	72.13216	77.39029	75.09977	79.87858
0.9558529	72.13216	77.39029	75.09977	79.87858
0.9715159	71.97168	77.15155	75.06033	79.72279
0.9715159	71.93156	77.19134	75.13921	79.87858
0.9715159	71.93156	77.19134	75.13921	79.87858
1.0087128	72.0118	77.39029	74.94199	79.60596
1.0097094	72.0118	77.39029	74.94199	79.60596
1.0272303	72.05192	77.31071	74.74478	79.80069
1.0272303	72.21239	77.23113	74.98144	79.52806
1.0272303	72.21239	77.23113	74.98144	79.52806
1.0585237	71.97168	77.43008	75.02088	79.41122
1.0585237	72.29263	77.78818	75.06033	79.68385
1.0742501	72.29263	77.78818	75.06033	79.68385
1.0742501	72.33274	77.66882	74.74478	79.41122
1.0742501	72.33274	77.66882	74.74478	79.41122
1.1054894	72.21239	77.54945	74.90255	79.29439
1.1054894	72.57345	77.7086	74.74478	79.33334
1.1054894	72.57345	77.7086	74.74478	79.33334
1.1210916	72.17227	77.90755	74.66589	79.06071
1.1367135	72.41298	78.1065	74.50812	79.21649
1.1523503	72.41298	78.1065	74.50812	79.21649
1.1523503	72.41298	78.14629	74.70534	78.94387
1.1835244	72.41298	78.14629	74.70534	78.94387
1.1835244	72.77404	78.22586	74.23202	79.06071
1.1835244	73.01475	78.54417	74.31091	78.43757
1.1994884	73.01475	78.54417	74.31091	78.43757
1.1994884	73.01475	78.38502	74.35035	78.98282
1.2305194	72.89439	78.74313	73.91647	78.90492
1.2305194	72.89439	78.74313	73.91647	78.90492
1.2305194	72.93452	78.50439	74.15313	78.6323
1.2775	72.93452	78.70334	73.95592	78.78809
1.2775	72.93452	78.70334	73.95592	78.78809
1.3084991	72.93452	78.74313	73.83759	78.39863
1.3084991	73.29558	78.8625	73.87703	78.32073
1.3244594	73.21534	78.90228	73.99536	78.47652
1.3244594	73.37581	78.90228	73.71926	78.00916
1.3555207	73.37581	78.90228	73.71926	78.00916
1.3555207	73.45605	79.06144	73.60093	78.24284
1.3713153	73.5764	79.26038	73.64037	78.00916
1.3713153	73.5764	79.37975	73.52204	78.16495
1.40252	73.5764	79.37975	73.52204	78.16495
1.40252	73.73687	79.53891	73.40371	77.93127
1.4335225	73.69675	79.49912	73.28539	77.73654
1.4335225	73.85722	79.61849	73.44315	77.89233
1.4494322	73.85722	79.61849	73.44315	77.89233
1.4494322	73.5764	79.30018	73.44315	77.73654
1.4805244	73.37581	79.45934	73.56149	77.77549
1.4805244	73.17522	79.53891	73.2065	77.77549
1.4962867	73.17522	79.53891	73.2065	77.77549
1.4962867	73.45605	79.33997	73.04872	77.65865
1.5275149	73.85722	79.73786	73.24594	77.73654
1.5275149	73.69675	79.73786	73.32483	77.69759
1.5275149	73.93746	80.05618	73.24594	77.34708
1.5584929	73.93746	80.05618	73.24594	77.34708
1.5584929	73.81711	80.01638	73.24594	77.46392
1.5836598	73.81711	80.01638	73.24594	77.46392
1.5848105	73.69675	79.81744	72.89095	77.46392
1.6083162	73.69675	79.77765	73.2065	77.50286
1.6086966	73.69675	79.77765	73.2065	77.50286
1.6086966	73.5764	79.61849	73.28539	77.65865
1.6244775	73.69675	79.69807	73.04872	77.54181
1.6244775	73.69675	79.69807	73.04872	77.54181
1.6557091	73.69675	79.5787	73.12761	77.81443
1.6557091	73.33569	79.49912	73.24594	77.89233
1.6557091	73.33569	79.49912	73.24594	77.89233
1.6713282	73.29558	79.5787	73.40371	77.85338
1.6713282	73.29558	79.5787	73.40371	77.85338
1.7025766	73.33569	79.26038	73.40371	78.16495
1.7025766	73.1351	79.14102	73.60093	78.24284
1.7025766	73.1351	79.14102	73.60093	78.24284
1.7336694	72.85428	78.98186	73.67982	78.24284
1.7336694	72.85428	78.98186	73.67982	78.24284
1.7495144	72.81416	78.90228	73.67982	78.2039
1.7495144	72.77404	78.98186	74.15313	78.6323
1.7495144	72.77404	78.98186	74.15313	78.6323
1.7806833	72.61357	78.54417	73.79814	78.90492
1.7806833	72.37286	78.66354	74.15313	79.06071
1.7965194	72.37286	78.66354	74.15313	79.06071
1.7965194	72.61357	78.1065	74.31091	79.25544
1.7965194	72.61357	78.1065	74.31091	79.25544
1.8275407	72.13216	77.74839	74.46867	79.68385
1.8275407	71.89145	77.62902	74.62645	79.68385
1.8586404	71.89145	77.62902	74.62645	79.68385
1.8586404	71.73097	77.23113	74.38979	79.91753
1.8586404	71.65073	77.46986	74.42924	79.91753
1.8745195	71.65073	77.46986	74.42924	79.91753
1.8745195	71.85133	77.39029	74.27146	80.1512
1.9056613	71.89145	77.7086	74.38979	80.34593
1.9056613	71.89145	77.7086	74.38979	80.34593
1.9214948	72.13216	77.46986	74.42924	80.2291
1.9214948	72.13216	77.46986	74.31091	80.69645
1.9525184	71.97168	77.7086	74.31091	80.34593
1.9525184	71.97168	77.7086	74.31091	80.34593
1.9836102	72.05192	77.46986	74.23202	80.50172
1.9836102	71.81121	77.54945	74.42924	80.26804
2.0075585	71.81121	77.50965	74.38979	80.38488
2.0095823	71.81121	77.50965	74.38979	80.38488
2.0336344	71.81121	77.66882	74.27146	80.07331
2.0348773	71.65073	77.7086	74.11369	79.80069
2.0361334	71.65073	77.7086	74.11369	79.80069
2.0569818	71.89145	77.66882	74.23202	79.99541
2.0569818	71.93156	77.82797	74.23202	79.72279
2.0569818	71.93156	77.82797	74.23202	79.72279
2.0725968	72.13216	78.0667	73.99536	79.91753
2.0725968	72.37286	77.90755	74.11369	79.76174
2.1038725	72.37286	77.90755	74.11369	79.76174
2.1038725	72.37286	78.38502	74.19257	79.95647
2.1194775	72.37286	78.38502	74.19257	79.95647
2.1349362	72.57345	78.14629	74.42924	79.68385
2.1349362	72.41298	78.26566	74.19257	79.76174
2.1507018	72.41298	78.26566	74.19257	79.76174
2.1507018	72.21239	77.90755	74.31091	79.83963
2.1819749	72.45309	78.18607	74.27146	79.80069
2.1819749	72.45309	78.18607	74.27146	79.80069
2.1819749	72.25251	77.90755	74.11369	79.48912
2.1975736	72.25251	77.90755	74.11369	79.48912
2.1975736	72.37286	78.0667	73.91647	79.48912
2.2288164	72.57345	78.30544	73.60093	79.21649
2.2288164	72.57345	78.30544	73.60093	79.21649
2.2288164	72.53333	78.30544	73.83759	79.21649
2.2445201	72.93452	78.38502	73.91647	79.1386
2.2601023	72.93452	78.38502	73.91647	79.1386
2.2756803	72.85428	78.18607	74.03481	79.25544
2.2756803	72.85428	78.18607	74.03481	79.25544
2.2756803	72.6938	78.22586	74.03481	79.25544
2.3069231	72.6938	78.54417	74.11369	79.06071
2.3069231	72.6938	78.54417	74.11369	79.06071
2.3225394	73.05487	78.26566	74.23202	79.17755
2.3225394	72.61357	78.50439	73.87703	79.09966
2.3383874	72.61357	78.50439	73.87703	79.09966
2.3537869	72.6938	78.38502	74.35035	79.29439
2.3537869	72.6938	78.38502	74.35035	79.29439
2.3695176	72.73392	78.26566	74.35035	78.98282
2.385104	72.6938	78.26566	74.11369	78.82703
2.4006445	72.6938	78.26566	74.11369	78.82703
2.4006445	72.77404	78.0667	74.15313	78.90492
2.4318905	72.77404	78.4646	74.27146	78.98282
2.4318905	72.6938	78.26566	74.42924	78.78809
2.4475228	72.6938	78.18607	74.27146	78.78809
2.4475228	72.6938	78.18607	74.27146	78.78809
2.4475228	72.6938	78.18607	74.38979	78.94387
2.478754	72.6938	78.18607	74.38979	78.94387
2.478754	72.49322	77.82797	74.54756	78.90492
2.494512	72.61357	77.7086	74.50812	78.94387
2.5100998	72.61357	77.7086	74.50812	78.94387
2.5100998	72.57345	78.14629	74.62645	78.74914
2.5256195	72.53333	78.0667	74.50812	78.55441
2.5568398	72.53333	78.0667	74.50812	78.55441
2.5829535	72.41298	78.02692	74.66589	78.78809
2.5845228	72.6938	77.86776	74.54756	78.94387
2.5922256	72.49322	77.94733	74.54756	78.78809
2.6084949	72.6938	78.02692	74.62645	79.29439
2.6122539	72.6938	78.02692	74.62645	79.29439
2.6212124	73.01475	78.34523	74.58701	78.82703
2.6212124	73.01475	78.34523	74.58701	78.82703
2.6526167	72.61357	77.90755	74.78423	78.94387
2.6526167	72.53333	78.18607	74.78423	79.02177
2.6526167	72.53333	78.18607	74.78423	79.02177
2.6836989	72.53333	78.0667	75.02088	79.09966
2.6836989	72.25251	78.02692	74.98144	79.06071
2.6994651	72.25251	78.02692	74.98144	79.06071
