TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.002991	49.2497	70.06905	73.08817	76.685
0.0130443	49.20947	70.46694	73.32483	76.64605
0.0381027	49.20947	70.46694	73.32483	76.64605
0.0393183	49.16923	70.42715	73.24594	76.72394
0.0620525	49.16923	70.42715	73.24594	76.72394
0.0620525	49.45089	70.42715	72.85151	76.13975
0.0777018	49.45089	70.74547	72.81207	76.56815
0.0777018	49.65207	70.66589	72.65429	76.45132
0.1089105	49.5716	70.74547	72.69373	76.6071
0.1089105	49.5716	70.74547	72.69373	76.6071
0.1245218	49.45089	70.54652	72.89095	76.6071
0.1245218	49.45089	70.54652	72.89095	76.6071
0.1713897	49.45089	70.50673	72.81207	76.45132
0.1713897	49.45089	70.50673	72.81207	76.45132
0.1713897	49.53136	70.6261	72.57541	76.64605
0.1870138	49.53136	70.6261	72.57541	76.64605
0.2026411	49.65207	70.90462	72.53596	76.41237
0.2026411	49.93373	70.9842	72.25986	76.25658
0.2026411	49.93373	70.9842	72.25986	76.25658
0.2338576	50.21539	71.58104	72.25986	76.02291
0.2338576	50.21539	71.58104	72.25986	76.02291
0.2494654	49.97396	71.42188	71.90487	75.71134
0.2494654	50.45681	71.46167	72.0232	76.1008
0.2649756	50.45681	71.46167	72.0232	76.1008
0.2806335	50.25562	71.50146	71.94431	75.75029
0.2806335	50.25562	71.50146	71.94431	75.75029
0.3119851	50.53728	71.58104	71.66821	75.39977
0.3119851	50.49704	71.54125	71.78654	75.28294
0.3119851	50.49704	71.54125	71.78654	75.28294
0.327605	50.57751	71.62083	71.7471	75.36082
0.327605	50.89941	71.62083	71.86543	75.36082
0.3588504	50.89941	71.62083	71.86543	75.36082
0.3588504	50.89941	72.33704	71.51044	74.77663
0.3588504	50.89941	72.33704	71.51044	74.77663
0.3744658	51.06036	72.01872	71.94431	74.65979
0.3744658	51.10059	71.93915	71.51044	74.77663
0.4057153	51.10059	71.93915	71.51044	74.77663
0.4057153	51.46272	71.93915	71.51044	74.30928
0.4057153	51.46272	72.29725	71.27378	74.38717
0.4369599	51.46272	72.29725	71.27378	74.38717
0.4369599	51.78461	72.13809	71.471	74.34822
0.4369599	51.78461	72.13809	71.471	74.34822
0.4628126	52.10651	72.65536	71.19489	73.99771
0.4669819	52.10651	72.37683	71.11601	73.99771
0.4802568	52.10651	72.37683	71.11601	73.99771
0.4802568	52.26746	72.37683	71.27378	73.76403
0.5116422	52.4284	72.05852	71.07657	73.72508
0.5116422	52.4284	72.05852	71.07657	73.72508
0.5116422	52.18698	72.29725	71.07657	74.03665
0.5272797	52.50888	72.21767	70.91879	73.53036
0.5272797	52.50888	72.21767	70.91879	73.53036
0.5585528	52.58935	72.29725	70.87935	73.49141
0.5585528	52.58935	72.29725	70.87935	73.49141
