TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0208473	88.98171	94.93739	56.77246	49.8458
0.021958	88.98171	94.93739	56.77246	49.8458
0.0451745	90.14513	96.05149	55.66161	48.98504
0.0471858	91.87021	97.68285	54.7888	47.73302
0.0471858	91.87021	97.68285	54.7888	47.73302
0.0714105	93.15398	98.59801	53.75729	46.12888
0.0714105	93.15398	98.59801	53.75729	46.12888
0.0881863	94.23717	98.9959	52.32906	45.30725
0.0964044	94.91917	99.07549	52.01167	44.28999
0.098396	94.91917	99.07549	52.01167	44.28999
0.1205057	94.43776	98.35928	52.36873	44.28999
0.1215066	93.1941	97.28497	53.55893	45.62025
0.1394275	93.1941	97.28497	53.55893	45.62025
0.1394275	91.22832	95.77296	55.50292	48.12428
0.1484361	91.22832	95.77296	55.50292	48.12428
0.1705108	89.38289	93.54476	57.68495	50.78481
0.1725051	87.57758	92.15214	59.3909	52.46721
0.1891808	87.57758	92.15214	59.3909	52.46721
0.1891808	85.69203	90.32182	60.73979	53.71922
0.1986047	84.40826	90.32182	60.73979	53.71922
0.2205034	84.40826	89.2873	61.0175	54.42347
0.2224983	83.36519	88.65067	60.85881	54.54085
0.2384241	83.36519	88.65067	60.85881	54.54085
0.2384241	83.04425	88.73026	60.77946	54.6191
0.2476198	82.24189	88.29257	61.13652	55.20598
0.287495	82.24189	88.29257	61.13652	55.20598
0.2884919	81.23894	87.97425	62.12835	57.00575
0.2895948	79.87492	87.45699	63.43757	59.04028
0.3089867	78.0295	85.78584	65.89732	61.58343
0.3089867	78.0295	85.78584	65.89732	61.58343
0.3412258	72.57345	82.28438	70.20882	68
0.3412258	72.57345	82.28438	70.20882	68
0.3487148	69.92567	80.13575	71.39211	69.86942
0.3660616	68.32095	78.54417	71.62877	69.79153
0.3660616	68.32095	78.54417	71.62877	69.79153
0.3957667	66.91361	77.50965	71.66821	69.63574
0.3968321	66.91361	77.50965	71.66821	69.63574
0.4010773	66.67219	77.03218	72.14153	69.28522
0.4208928	66.0284	76.67408	72.96984	70.37572
0.4222916	66.0284	76.67408	72.96984	70.37572
0.4421977	65.42485	75.79871	74.82367	71.93356
0.4421977	64.17751	74.24693	76.63805	74.11455
0.4485724	64.17751	74.24693	76.63805	74.11455
0.4680309	62.60828	72.33704	78.76798	77.07446
0.4680309	62.60828	72.33704	78.76798	77.07446
0.4908642	60.67692	70.30779	81.21346	80.03436
0.4908642	58.90651	68.11937	82.87007	82.83849
0.5162589	58.90651	68.11937	82.87007	82.83849
0.5162589	57.37751	66.36289	83.5406	84.31844
0.542711	56.29112	65.08514	83.69838	85.13631
0.542711	55.76805	64.16676	83.65894	85.33104
0.5645486	55.76805	64.16676	83.65894	85.33104
0.5645486	55.40592	64.12684	82.75174	84.7858
0.5645486	56.3716	64.96535	81.76566	84.20161
0.5811866	56.3716	64.96535	81.76566	84.20161
0.5970413	57.77988	66.20317	81.21346	83.46162
0.6151154	59.10769	67.36113	81.09513	83.189
0.6151154	59.10769	67.36113	81.09513	83.189
0.6234945	59.79172	68.07958	81.17401	83.61741
0.6422049	59.79172	68.07958	81.17401	83.61741
0.6472754	59.87219	67.92014	81.64733	83.73425
0.6703071	59.42958	67.08162	82.55453	84.7858
0.6713101	59.42958	67.08162	82.55453	84.7858
0.6737444	58.90651	65.80388	83.10673	85.33104
0.6896552	58.10178	64.60599	82.87007	85.44788
0.6896552	58.10178	64.60599	82.87007	85.44788
0.7145422	58.14201	64.76571	81.96288	84.31844
0.7145422	58.7858	64.96535	81.01624	82.99427
0.7235988	58.7858	64.96535	81.01624	82.99427
0.7437056	60.71716	66.40282	79.35963	80.77434
0.7437056	60.71716	66.40282	79.35963	80.77434
0.7645436	63.77515	68.27853	77.26914	78.2039
0.7645436	66.55148	71.26273	76.08585	76.25658
0.7735744	66.55148	71.26273	76.08585	76.25658
0.7917964	68.80236	73.17262	75.06033	74.97137
0.7917964	70.92861	74.80398	74.11369	73.37457
0.8159776	70.92861	74.80398	74.11369	73.37457
0.8159776	72.85428	76.55471	73.08817	71.38831
0.8235947	72.85428	76.55471	73.08817	71.38831
0.8395382	74.94041	78.18607	71.78654	69.0126
0.8395382	77.3475	80.73259	69.93272	66.23936
0.8645467	77.3475	80.73259	69.93272	66.23936
0.8645467	79.91505	82.76185	67.84131	63.10932
0.8735978	82.56283	84.55237	65.65928	59.39241
0.8912108	82.56283	84.55237	65.65928	59.39241
0.8912108	85.57168	86.89994	62.68378	55.98849
0.9160383	85.57168	86.89994	62.68378	55.98849
0.9160383	89.22242	89.48625	59.47025	52.11507
0.9308517	92.43186	91.99298	56.77246	48.82854
0.9467573	94.35752	93.10708	55.70128	47.34177
0.9650705	94.43776	92.78876	56.01867	47.6939
0.9650705	94.43776	92.78876	56.01867	47.6939
0.9939736	93.55516	91.67467	57.16919	49.29804
0.9939736	93.55516	91.67467	57.16919	49.29804
1.0183313	91.06785	88.57109	59.27188	52.23245
1.0221077	91.06785	88.57109	59.27188	52.23245
1.0440346	89.8643	87.13868	60.5811	52.81933
1.0472907	89.06195	86.34289	60.54142	53.09321
1.0485948	89.06195	86.34289	60.54142	53.09321
1.0587384	88.86136	86.38268	60.54142	52.78021
1.0587384	88.86136	86.38268	60.54142	52.78021
1.0924625	89.22242	87.01931	60.02567	52.07595
1.0924625	89.58348	88.25278	59.62894	51.56732
1.0984686	89.58348	88.25278	59.62894	51.56732
1.1160814	89.94454	89.00877	59.15286	51.48907
1.1160814	90.22537	89.60561	58.55776	51.91945
1.142272	90.22537	89.60561	58.55776	51.91945
1.142272	89.34277	89.44646	59.35123	53.13234
1.148434	89.34277	89.44646	59.35123	53.13234
1.1674786	87.29675	87.65594	61.0175	55.47986
1.1674786	84.52861	85.189	63.3979	59.04028
1.1914549	84.52861	85.189	63.3979	59.04028
1.1914549	81.55988	82.04564	66.2147	61.93556
1.2197332	79.19292	79.81744	68.11833	63.46145
1.2221905	77.1469	77.43008	69.77494	64.94822
1.2394986	77.1469	77.43008	69.77494	64.94822
1.2394986	76.42478	76.75365	70.05104	64.36134
1.2486028	76.42478	76.2364	70.16937	63.73533
1.2686424	76.42478	76.2364	70.16937	63.73533
1.2686424	76.66549	77.07198	70.20882	63.3832
1.2895603	77.38761	78.14629	70.09048	62.99194
1.2895603	77.38761	78.14629	70.09048	62.99194
1.307053	77.98938	79.02165	69.7355	62.87457
1.307053	78.51092	79.85722	69.30162	62.56157
1.3459496	77.90914	79.65828	70.05104	63.77445
1.3472769	77.90914	79.65828	70.05104	63.77445
1.3502485	76.4649	78.42481	71.35267	65.45685
1.3564552	74.49911	76.55471	72.9304	67.687
1.3723888	74.49911	76.55471	72.9304	67.687
1.3973394	72.61357	74.48566	74.98144	69.5189
1.3973394	72.61357	74.48566	74.98144	69.5189
1.4007727	70.64779	72.41662	76.16473	70.88202
1.4169333	68.96283	70.26799	77.93967	72.28408
1.4222806	68.96283	70.26799	77.93967	72.28408
1.4430142	66.67219	68.3979	80.34571	74.27033
1.4430142	64.94201	66.36289	81.72622	75.86713
1.4497141	64.94201	66.36289	81.72622	75.86713
1.4672987	63.73491	65.8438	81.76566	75.98396
1.4672987	63.73491	65.8438	81.76566	75.98396
1.4908502	63.77515	66.00352	81.76566	75.71134
1.4908502	64.01657	66.40282	81.80511	76.1787
1.5163618	64.01657	66.40282	81.80511	76.1787
1.5163618	64.4994	67.44099	81.21346	76.41237
1.5551748	64.94201	68.31831	80.50348	76.37343
