TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.023716	84.56873	97.24517	56.5741	52.19333
0.3677357	84.56873	97.24517	56.5741	52.19333
0.3677357	84.48849	97.40433	56.37573	51.9977
0.3677357	84.7292	97.40433	56.5741	51.91945
0.3677357	84.7292	97.36454	56.29638	51.8412
0.3677357	84.7292	97.36454	56.29638	51.8412
0.3677357	84.16755	97.40433	56.45507	52.19333
0.3677357	84.52861	97.60328	56.53442	52.3107
0.3677357	84.52861	97.60328	56.53442	52.3107
0.3677357	84.40826	97.24517	56.61377	52.3107
0.3677357	84.40826	97.32475	56.53442	52.70196
0.3677357	84.40826	97.32475	56.53442	52.70196
0.3677357	83.92684	97.00644	56.53442	52.50633
0.3677357	83.92684	97.00644	56.53442	52.50633
0.3677357	84.12743	97.08601	56.29638	52.58458
0.3677357	84.12743	97.1258	56.37573	52.74108
0.3677357	84.12743	97.1258	56.37573	52.74108
0.3677357	84.2879	97.28497	56.53442	52.54546
0.3677357	84.12743	97.44412	56.5741	52.11507
0.3677357	84.12743	97.44412	56.5741	52.11507
0.3677357	84.24779	97.32475	56.61377	52.58458
0.3677357	84.08732	97.1258	56.37573	52.42808
0.3677357	84.08732	97.1258	56.37573	52.42808
0.3677357	84.08732	97.48391	56.81213	52.66283
0.3677357	84.08732	97.48391	56.81213	52.66283
0.3677357	84.00708	97.44412	56.4154	52.50633
0.3677357	83.6059	97.40433	56.53442	52.78021
0.3677357	83.6059	97.40433	56.53442	52.78021
0.3677357	83.88673	97.1258	56.37573	52.85846
0.3677357	83.88673	97.28497	56.37573	52.97583
0.3677357	83.84661	97.32475	56.5741	52.93671
0.3677357	83.84661	97.32475	56.5741	52.93671
0.3677357	83.52567	97.5237	56.45507	52.89758
0.3833694	83.64602	97.68285	56.33606	52.93671
0.3856344	83.64602	97.68285	56.33606	52.93671
0.3868851	83.80649	97.64307	56.45507	52.93671
0.4040425	83.68613	97.68285	56.4154	52.81933
0.4040425	83.68613	97.68285	56.4154	52.81933
0.4211363	83.40531	97.48391	56.33606	53.13234
0.4211363	83.48554	97.60328	56.45507	52.78021
0.4372041	83.48554	97.60328	56.45507	52.78021
0.4579875	83.20472	97.32475	56.45507	53.01496
0.4579875	83.44543	97.5237	56.29638	53.01496
0.4799477	83.44543	97.5237	56.29638	53.01496
0.4799477	83.40531	97.44412	56.65344	53.09321
0.4876304	83.40531	97.44412	56.65344	53.09321
0.5065832	83.12448	97.08601	56.81213	53.32796
0.5065832	83.24483	97.08601	56.77246	53.05408
0.5302673	83.24483	97.08601	56.77246	53.05408
0.5302673	83.1646	97.40433	56.49475	52.89758
0.5375912	83.68613	97.64307	56.77246	52.78021
0.5564774	83.68613	97.64307	56.77246	52.78021
0.5564774	83.92684	97.80222	56.33606	52.38895
0.584267	83.92684	97.80222	56.33606	52.38895
0.584267	84.2879	98.47865	56.01867	52.62371
0.5894857	84.20767	98.47865	55.89965	52.11507
0.6068758	84.20767	98.47865	55.89965	52.11507
0.6068758	84.32803	98.67759	55.70128	52.3107
0.6293483	84.64896	98.83675	55.42357	52.1542
0.6293483	84.64896	98.83675	55.42357	52.1542
0.6384109	84.44838	98.95612	55.26488	52.11507
0.6585818	84.44838	98.95612	55.26488	52.11507
0.6610451	84.56873	99.27443	55.50292	52.11507
0.6786082	84.48849	99.11527	55.2252	52.27158
0.6786082	84.48849	99.11527	55.2252	52.27158
0.6958058	84.2879	99.23464	55.2252	51.95857
0.6958058	84.2879	99.23464	55.2252	51.95857
0.7280074	84.2879	99.11527	55.06651	51.52819
0.7280074	84.2879	99.11527	55.06651	51.52819
0.7551645	84.24779	99.15506	55.2252	51.41082
0.7551645	84.60885	99.67233	54.66978	50.82394
0.780331	84.56873	99.71211	54.66978	51.17606
0.780331	84.76933	99.79169	54.74913	50.86306
0.8051987	84.76933	99.79169	54.74913	50.86306
0.8051987	84.84956	100.309	54.55076	50.94131
0.8111349	84.84956	100.309	54.55076	50.94131
0.8279342	85.05015	100.5477	54.47141	51.01956
0.8279342	85.21062	100.5875	54.55076	51.05869
0.8554576	85.21062	100.5875	54.55076	51.05869
