TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0048121	52.34793	48.95361	64.19137	60.25317
0.0048121	52.22722	48.87375	64.50875	60.17492
0.0288243	52.30769	48.43453	64.38973	60.05754
0.0303525	52.34793	48.23488	64.35006	60.25317
0.0330109	52.34793	48.23488	64.35006	60.25317
0.0559525	52.66982	48.63417	64.35006	59.70541
0.0559525	53.35385	48.79389	64.1517	59.54891
0.0605198	53.35385	48.79389	64.1517	59.54891
0.0759794	53.47456	49.43277	64.07234	59.43153
0.082494	53.47456	49.43277	64.07234	59.43153
0.1000526	53.87692	49.71227	63.71529	59.27503
0.1000526	54.23905	49.63241	64.19137	59.11853
0.1157483	54.23905	49.63241	64.19137	59.11853
0.1304407	54.23905	49.15326	63.67561	58.84465
0.1325471	54.15858	49.15326	63.67561	58.84465
0.1499696	54.15858	49.59248	63.55659	58.84465
0.1499696	54.11834	49.39284	63.43757	58.37514
0.1657637	54.11834	49.39284	63.43757	58.37514
0.1804808	54.52071	49.43277	63.43757	58.64902
0.1829975	54.72189	49.63241	63.51692	58.33602
0.1988306	54.72189	49.63241	63.51692	58.33602
0.1988306	55.08402	49.51263	63.63594	58.14039
0.224198	55.08402	49.51263	63.63594	58.14039
0.224198	55.24497	49.87199	63.3979	57.98389
0.2318308	55.40592	49.95185	63.51692	57.74914
0.2519443	55.40592	49.95185	63.51692	57.74914
0.2519443	55.28521	49.71227	63.43757	57.47526
0.2741716	55.72781	49.87199	63.35823	57.82739
0.2741716	55.72781	49.87199	63.35823	57.82739
0.2818209	55.56686	49.67234	63.15986	57.59264
0.3017542	55.56686	49.67234	63.15986	57.59264
0.3017542	55.08402	49.59248	63.75496	57.74914
0.3228735	55.12426	49.43277	63.71529	58.06214
0.3228735	55.12426	49.43277	63.71529	58.06214
0.3319485	55.04379	49.15326	64.11202	58.14039
0.3503661	54.80237	49.11333	64.19137	57.86651
0.3503661	54.80237	49.11333	64.19137	57.86651
0.374625	54.35976	48.31474	64.70712	58.6099
0.374625	54.35976	48.31474	64.70712	58.6099
0.383577	53.99763	48.27481	64.62777	58.57077
0.4020752	53.99763	47.9953	65.02451	58.64902
0.4020752	53.99763	47.9953	65.02451	58.64902
0.4243141	53.55503	48.07516	65.34189	59.27503
0.4243141	53.1929	47.75573	65.54026	59.39241
0.4320775	53.1929	47.75573	65.54026	59.39241
0.4482746	53.27337	47.39636	65.38156	59.54891
0.4482746	53.27337	47.39636	65.38156	59.54891
0.473191	52.95148	47.75573	65.42123	59.47066
0.473191	53.11243	47.55608	65.46091	59.35328
0.4857075	53.11243	47.55608	65.46091	59.35328
0.5039118	53.11243	47.59601	65.22287	59.43153
0.5049151	53.51479	48.03523	65.1832	59.35328
0.5241958	53.51479	48.03523	65.1832	59.35328
0.5241958	53.51479	48.55432	65.22287	59.50978
0.5499179	53.51479	48.55432	65.22287	59.50978
0.5499179	53.51479	48.75396	65.02451	59.04028
0.5747199	53.6355	48.91368	64.86581	59.04028
