TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0031717	56.49231	54.94304	57.64528	57.31876
0.0054641	56.29112	54.86318	57.68495	57.12313
0.0085891	56.29112	54.86318	57.68495	57.12313
0.029206	56.45207	54.66354	57.92299	57.12313
0.0302014	56.33136	54.78333	57.80397	57.12313
0.053354	56.33136	54.78333	57.80397	57.084
0.0552521	56.3716	55.06283	57.88331	57.12313
0.0593794	56.3716	55.06283	57.88331	57.12313
0.0789166	56.65326	54.94304	57.72462	57.16225
0.0789166	56.61302	54.74339	57.84364	56.771
0.1043452	56.61302	54.74339	57.84364	56.771
0.1053371	56.8142	54.90311	57.92299	56.96663
0.1074492	56.57278	54.90311	57.6056	56.96663
0.1286843	56.57278	54.82325	57.6056	56.6145
0.1304032	56.8142	54.78333	57.56593	56.84925
0.1454705	56.8142	54.78333	57.56593	56.84925
0.1454705	57.13609	54.90311	57.48658	56.69275
0.1785073	57.09586	55.22255	57.72462	56.34062
0.180259	57.09586	55.22255	57.72462	56.34062
0.1991765	57.05562	55.10276	57.56593	56.34062
0.1991765	57.05562	55.10276	57.56593	56.34062
0.20785	57.09586	54.74339	57.52625	56.14499
0.2269032	57.09586	54.74339	57.52625	56.14499
0.2269032	57.21657	54.86318	57.80397	56.18412
0.2601077	57.21657	54.78333	57.64528	56.30149
0.2760875	57.21657	54.78333	57.64528	56.30149
0.293042	57.33728	54.78333	57.68495	56.18412
0.3087236	57.77988	55.10276	57.48658	55.91024
0.3097173	57.45799	54.94304	57.52625	56.06674
0.3255242	57.82012	55.10276	57.48658	55.75374
0.3255242	57.82012	55.10276	57.48658	55.75374
0.3411471	57.65917	55.0229	57.64528	55.83199
0.3411471	57.69941	55.0229	57.92299	55.91024
0.37261	57.69941	55.0229	57.92299	55.91024
0.37261	57.53846	54.94304	57.68495	55.71461
0.3816196	57.53846	54.94304	57.68495	55.71461
0.4014743	57.37751	54.90311	57.44691	55.79287
0.4014743	57.49823	54.98297	57.56593	55.83199
0.4240439	57.49823	54.98297	57.56593	55.83199
0.4240439	57.77988	54.98297	57.40723	55.59724
0.4316231	58.0213	55.14269	57.16919	55.51899
0.4489976	58.0213	55.14269	57.16919	55.51899
0.4489976	58.14201	55.34234	57.44691	55.63636
0.4725902	58.30296	55.7017	57.24854	55.71461
0.4725902	58.30296	55.7017	57.24854	55.71461
0.4816636	58.38343	55.58191	57.36756	55.47986
0.4975859	58.38343	55.58191	57.36756	55.47986
0.4975859	58.0213	55.50206	57.16919	55.20598
0.5224763	58.26272	55.62185	56.93116	55.32336
0.5224763	58.26272	55.62185	56.93116	55.32336
0.5488763	58.26272	55.30241	57.05017	55.36248
0.5488763	58.38343	55.74163	57.12952	55.20598
0.5725429	58.38343	55.78156	57.05017	55.47986
0.5725429	58.38343	55.78156	57.05017	55.47986
0.5975016	58.42367	55.74163	56.81213	55.24511
0.5975016	58.18225	55.46212	56.89148	55.04948
0.6064885	58.18225	55.46212	56.89148	55.04948
0.6244673	58.22248	55.46212	56.97083	55.12773
0.6244673	58.30296	55.46212	57.12952	55.32336
0.6475253	58.30296	55.46212	57.12952	55.32336
0.6475253	58.22248	55.7017	56.77246	55.01036
0.6565185	58.22248	55.7017	56.77246	55.01036
0.6739066	57.94083	55.74163	56.89148	55.40161
0.6739066	58.0213	55.82149	57.08985	55.24511
0.7027122	58.0213	55.82149	57.08985	55.24511
0.7054831	58.0213	55.82149	56.97083	55.40161
0.7266501	58.14201	56.101	56.77246	55.40161
0.7266501	57.94083	55.90135	57.08985	55.44073
0.7474911	57.94083	55.90135	57.08985	55.44073
0.7474911	57.86036	56.06107	57.08985	55.24511
0.7571212	57.77988	56.30065	56.93116	55.32336
