TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0067515	30.0568	33.02172	47.76663	52.81933
0.0067515	29.73491	32.94187	47.8063	53.13234
0.0294855	29.73491	32.94187	47.8063	53.13234
0.0312766	30.13728	32.82208	47.88565	53.05408
0.0334827	30.13728	32.82208	47.88565	53.05408
0.0501415	30.25799	32.70229	48.20303	52.97583
0.0558155	30.0568	32.86201	48.12369	53.40622
0.0821315	30.0568	32.86201	48.12369	53.40622
0.0837188	29.93609	32.82208	47.60793	53.36709
0.0977274	29.65444	32.82208	48.24271	53.44534
0.0977274	29.25207	32.54257	48.20303	53.68009
0.11557	29.25207	32.54257	48.20303	53.68009
0.1307037	29.33254	32.62243	47.92532	53.64097
0.1328093	29.21183	32.5825	48.12369	53.83659
0.1478819	29.21183	32.5825	48.12369	53.83659
0.1560524	29.29231	32.74222	48.24271	54.03222
0.1654253	29.49349	32.74222	48.20303	54.03222
0.1820984	29.49349	32.74222	48.20303	54.03222
0.197992	29.33254	32.90194	48.12369	54.3061
0.197992	29.33254	32.82208	48.16336	54.18872
0.2236068	28.97042	32.90194	47.96499	54.11047
0.2313517	28.97042	32.90194	47.96499	54.11047
0.2324762	29.1716	32.54257	47.96499	54.22785
0.2511677	29.05089	32.78215	47.76663	54.38435
0.2561953	29.05089	32.78215	47.76663	54.38435
0.27499	28.93018	32.46271	47.92532	54.3061
0.27499	28.93018	32.46271	47.92532	54.3061
0.2827041	29.05089	32.62243	47.52859	54.11047
0.3002545	29.13136	32.66236	47.56826	54.18872
0.3002545	29.13136	32.66236	47.56826	54.18872
0.3252558	28.93018	32.90194	47.56826	54.26698
0.3411961	28.93018	33.10159	47.64761	54.22785
0.3411961	28.97042	33.22137	47.72696	54.4626
0.3741606	28.97042	33.02172	47.72696	54.38435
0.3741606	29.05089	33.06166	47.60793	54.42347
0.3741606	29.05089	33.06166	47.60793	54.42347
0.4055196	28.97042	33.06166	47.44924	54.4626
0.4055196	29.01065	32.90194	47.52859	54.4626
0.4233317	29.01065	32.90194	47.52859	54.4626
0.4233317	29.01065	32.9818	47.64761	54.85386
0.4490991	29.01065	32.9818	47.64761	54.85386
0.4490991	28.97042	33.10159	47.76663	54.4626
0.4578162	28.88994	32.82208	47.60793	54.50172
