TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0368752	34.80473	37.57369	43.36289	47.88953
0.1962701	34.72426	37.61362	43.24387	48.16341
0.1962701	34.72426	37.61362	43.24387	48.16341
0.1962701	34.40237	37.81327	43.64061	48.39816
0.1962701	34.40237	37.81327	43.64061	48.39816
0.1962701	34.68402	37.69348	43.60093	48.0069
0.1962701	34.68402	37.77334	43.56126	48.43728
0.1962701	34.68402	37.77334	43.56126	48.43728
0.1962701	34.60355	37.61362	43.48191	48.43728
0.1962701	34.4426	37.57369	43.52159	48.39816
0.1962701	34.4426	37.57369	43.52159	48.39816
0.1962701	34.72426	37.61362	43.60093	48.47641
0.1962701	34.52308	37.53376	43.12486	48.08516
0.1962701	34.32189	37.49384	43.48191	48.35903
0.1962701	34.32189	37.49384	43.48191	48.35903
0.1962701	34.08047	37.37405	43.60093	48.47641
0.1962701	34.32189	37.37405	43.36289	48.24166
0.1962701	34.32189	37.37405	43.36289	48.24166
0.2317761	34.24142	37.1744	43.52159	48.31991
0.2330634	34.24142	37.1744	43.52159	48.31991
0.2352178	34.32189	37.37405	43.75963	48.78941
0.2679097	33.83905	37.29419	43.7993	48.75029
0.270253	34.16095	37.29419	44.07701	48.98504
0.2717701	34.16095	37.29419	44.07701	48.98504
0.2939657	34.16095	37.09454	43.7993	49.06329
0.2944455	34.16095	37.09454	43.7993	49.06329
0.3138014	34.20118	37.1744	43.83897	49.21979
0.3138014	33.79882	36.7751	44.11669	49.33717
0.3216962	33.79882	36.7751	44.11669	49.33717
0.3415502	33.5574	36.7751	44.23571	49.14154
0.3415502	33.5574	36.89489	44.19603	49.06329
0.3642959	33.5574	36.89489	44.19603	49.06329
0.3642959	33.67811	36.97475	43.87865	48.94592
0.3717	33.67811	36.97475	43.87865	48.94592
0.3941463	33.5574	36.85496	43.99767	48.98504
0.3945184	33.39645	37.13447	44.35472	49.41542
0.4126492	33.39645	37.13447	44.35472	49.41542
0.4126492	33.75858	37.05461	43.95799	49.41542
0.421699	33.5574	36.85496	43.87865	49.25892
0.4401325	33.5574	36.85496	43.87865	49.25892
0.4401325	33.59763	37.09454	44.03734	49.37629
0.4640223	33.59763	37.09454	44.03734	49.37629
0.4640223	33.59763	36.93482	44.03734	49.25892
0.479904	33.63787	37.09454	44.03734	48.98504
0.4956392	33.67811	37.09454	43.75963	49.14154
0.5175854	33.79882	37.13447	43.95799	49.10242
0.5175854	33.79882	37.13447	43.95799	49.10242
0.5216899	33.63787	37.05461	43.87865	49.37629
0.5376027	33.63787	37.05461	43.87865	49.37629
0.5376027	33.75858	37.13447	43.95799	49.21979
0.5626062	33.79882	37.29419	43.95799	49.21979
0.5626062	33.79882	37.29419	43.95799	49.21979
0.5717285	33.5574	37.1744	43.7993	49.25892
0.5891494	33.91953	37.41397	43.60093	49.14154
0.5948005	33.91953	37.41397	43.60093	49.14154
0.6127699	33.59763	37.05461	43.68028	48.90679
0.6127699	33.59763	37.05461	43.68028	48.90679
0.6216939	33.87929	37.33412	43.91832	49.02417
0.6390735	33.71834	37.29419	43.64061	49.06329
0.6390735	33.71834	37.29419	43.64061	49.06329
0.6640926	33.75858	37.29419	43.83897	49.06329
0.6640926	33.63787	37.65355	43.52159	49.21979
0.6876035	33.63787	37.65355	43.52159	49.21979
0.6946617	33.59763	37.29419	43.68028	49.25892
0.6966574	33.79882	37.29419	43.75963	49.25892
0.7151545	33.79882	37.41397	43.75963	49.10242
0.7151545	33.63787	37.57369	43.64061	49.14154
0.7393463	33.63787	37.57369	43.64061	49.14154
0.7393463	33.71834	37.41397	43.64061	49.02417
0.7465615	33.87929	37.65355	43.64061	49.10242
0.7653285	33.87929	37.65355	43.64061	49.10242
0.7653285	33.91953	37.65355	43.44224	49.06329
0.7876058	33.83905	37.65355	43.56126	48.98504
0.7946632	33.83905	37.65355	43.56126	48.98504
0.7967943	34	37.57369	43.48191	48.90679
0.8189145	34	37.57369	43.48191	48.90679
0.8199134	34	37.89313	43.40257	48.82854
0.8430008	33.87929	37.69348	43.71995	48.82854
0.8451703	33.87929	37.69348	43.71995	48.82854
0.8468241	33.95976	37.8532	43.64061	49.02417
0.867301	34.28166	37.81327	43.24387	49.10242
0.867301	34.28166	37.81327	43.24387	49.10242
0.8754056	34.08047	37.89313	43.28355	48.78941
0.893637	34.08047	37.89313	43.28355	48.78941
0.8957818	34.28166	37.69348	43.48191	48.90679
0.9087722	34.28166	37.97299	43.16453	48.78941
0.9087722	34.28166	37.97299	43.16453	48.78941
0.9421524	34.16095	37.89313	43.24387	48.59378
0.9447518	34.08047	37.69348	43.08518	48.75029
0.947972	34.08047	37.69348	43.08518	48.75029
0.9673208	34.24142	38.05285	43.2042	48.47641
0.9703168	34.24142	38.05285	43.2042	48.47641
0.9959097	34.36213	38.09278	42.96616	48.39816
0.9969039	34.64379	37.93306	43.12486	48.51553
0.9989617	34.64379	37.93306	43.12486	48.51553
1.0178622	34.24142	38.21257	43.12486	48.43728
1.0195071	34.64379	38.21257	42.92649	48.20253
1.0390109	34.64379	38.21257	42.92649	48.20253
1.0446587	34.56331	38.17264	42.88681	48.24166
1.0467817	34.56331	38.17264	42.88681	48.24166
1.0636301	34.7645	37.93306	42.88681	48.28078
1.0636301	34.64379	38.21257	43.16453	48.04603
1.0876068	34.64379	38.21257	43.16453	48.04603
1.0952083	34.7645	38.25249	42.92649	47.92865
1.0966444	34.7645	38.37228	42.80747	47.96778
1.1125612	34.7645	38.37228	42.80747	47.96778
1.1125612	34.96568	38.29242	43.00583	48.0069
1.1373982	34.96568	38.29242	43.00583	48.0069
1.1373982	35.04615	38.57193	42.68845	47.77215
1.1630902	34.88521	38.29242	42.64877	47.92865
1.1630902	34.88521	38.29242	42.64877	47.92865
1.1896485	34.80473	38.37228	42.84714	47.92865
1.1953045	34.80473	38.37228	42.84714	47.92865
1.2180539	34.7645	38.25249	43.04551	47.57653
1.2203408	34.7645	38.25249	43.04551	47.57653
1.2208253	35.00592	38.57193	43.00583	47.77215
