TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0010426	83.96696	82.12522	70.40603	75.20504
0.0247195	83.96696	82.12522	70.40603	75.20504
0.0257675	83.88673	82.12522	70.36659	75.20504
0.0322188	84.20767	82.2048	70.12993	75.32188
0.0428956	84.20767	82.2048	70.12993	75.32188
0.0513461	84.44838	82.24459	70.36659	75.16609
0.0745185	84.44838	82.24459	70.36659	75.16609
0.0755719	84.44838	82.48332	70.20882	74.93242
0.0775954	84.64896	82.44353	70.24826	75.01031
0.1004592	84.64896	82.44353	70.24826	75.01031
0.1022125	84.7292	81.92627	70.40603	75.20504
0.1247987	84.24779	81.92627	70.52436	75.28294
0.1247987	84.24779	81.92627	70.52436	75.28294
0.1273115	84.24779	82.00585	70.60325	75.24399
0.1412586	84.24779	82.00585	70.60325	75.24399
0.1412586	84.20767	81.88648	70.60325	75.59451
0.1747805	84.12743	81.76711	70.99768	75.67239
0.1758837	84.12743	81.76711	70.99768	75.67239
0.1785152	84.20767	81.48859	70.91879	75.82818
0.1910291	83.76637	81.28964	71.43156	76.06186
0.1910291	83.76637	81.28964	71.43156	76.06186
0.2194949	83.44543	80.93154	71.19489	76.13975
0.2194949	83.44543	80.93154	71.19489	76.13975
0.2432981	83.48554	80.45406	71.35267	76.33448
0.2432981	83.6059	80.41428	71.54988	76.33448
0.268674	83.20472	80.21533	71.86543	76.41237
0.268674	83.36519	80.17554	71.90487	76.64605
0.2932884	83.36519	80.17554	71.90487	76.64605
0.2932884	83.24483	79.97659	71.66821	76.64605
0.3022607	83.24483	79.97659	71.66821	76.64605
0.3211145	83.28496	79.89702	71.66821	76.56815
0.3211145	83.32507	79.85722	71.70766	76.49026
0.343209	83.32507	79.85722	71.70766	76.49026
0.343209	83.20472	80.17554	71.98376	76.49026
0.3522407	83.48554	79.73786	71.78654	76.6071
0.3695049	83.48554	79.73786	71.78654	76.6071
0.3695049	83.44543	80.01638	72.18098	76.84078
0.3951661	83.6059	80.01638	72.18098	76.84078
0.3951661	83.6059	79.85722	71.98376	76.87972
0.4023855	83.44543	79.73786	72.10209	76.49026
0.4224158	83.44543	79.73786	72.10209	76.49026
0.4224158	83.48554	79.53891	72.10209	76.76289
0.4447996	83.36519	79.53891	72.18098	76.685
0.4447996	83.36519	79.53891	72.18098	76.685
0.4707395	83.40531	79.49912	72.22042	76.87972
0.4707395	83.40531	79.49912	72.22042	76.87972
0.4933032	83.44543	79.2206	72.25986	76.64605
0.4933032	83.44543	79.2206	72.25986	76.64605
0.5097983	83.40531	79.5787	72.0232	76.45132
0.5257494	83.40531	79.5787	72.0232	76.45132
0.5438025	83.76637	79.81744	72.37819	76.64605
0.5438025	83.52567	79.81744	72.10209	76.64605
0.5523782	83.52567	79.53891	72.10209	76.6071
0.5697528	83.64602	79.81744	72.37819	76.56815
0.5697528	83.64602	79.81744	72.37819	76.56815
0.5933015	83.52567	79.49912	72.22042	76.45132
0.5933015	83.6059	79.81744	72.18098	76.33448
