TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0220494	106.9947	92.35108	73.32483	62.91369
0.0230813	106.6336	92.31129	73.56149	62.99194
0.0462413	106.7139	92.31129	73.56149	62.99194
0.0481248	106.7139	92.19193	74.15313	63.03107
0.0506248	106.5534	92.15214	74.19257	63.18757
0.0719754	106.5534	92.15214	74.19257	63.18757
0.0727909	106.4732	92.19193	74.50812	63.07019
0.0960646	106.433	92.11234	74.19257	62.99194
0.098129	106.433	92.11234	74.19257	62.99194
0.1006264	106.6737	92.31129	73.95592	62.56157
0.1220273	106.6737	92.31129	73.95592	62.56157
0.1222159	107.6767	92.82855	72.96984	61.97468
0.1470253	108.4389	93.54476	71.78654	61.30955
0.1481291	108.4389	93.54476	71.78654	61.30955
0.1502642	109.5221	94.38034	70.99768	60.44879
0.1720112	110.5251	95.25571	70.5638	60.33142
0.1723906	110.5251	95.25571	70.5638	60.33142
0.1911973	111.4478	95.53423	69.34106	60.25317
0.1911973	111.4478	95.53423	69.34106	60.25317
0.1911973	112.4507	95.85255	68.59164	60.01841
0.2224394	113.6142	96.48917	67.08752	59.19678
0.2224394	113.6142	96.48917	67.08752	59.19678
0.2382042	114.8578	97.1656	66.09568	58.72727
0.2382042	115.8608	97.84201	65.02451	58.21864
0.2382042	115.8608	97.84201	65.02451	58.21864
0.2694536	116.8637	98.04096	64.86581	57.78826
0.2694536	117.305	98.04096	64.86581	57.78826
0.2850674	117.305	98.16032	63.91365	57.16225
0.2850674	118.3481	98.20012	63.04084	56.41887
0.3163325	118.3481	98.20012	63.04084	56.41887
0.3163325	118.9499	98.12054	62.56476	55.79287
0.3319384	119.0301	98.12054	61.92999	55.40161
0.347419	119.3109	98.20012	61.65228	55.12773
0.3631732	119.7923	98.39906	61.53326	54.57998
0.3631732	119.7923	98.39906	61.53326	54.57998
0.3631732	120.8354	98.9959	61.49358	54.22785
0.3944066	120.8354	98.9959	61.49358	54.22785
0.3980366	121.2767	99.79169	61.05717	54.34523
0.4202349	121.2366	99.87127	61.6126	53.9931
0.4202349	121.2366	99.87127	61.6126	53.9931
0.4202349	121.4372	99.79169	61.77129	54.3061
0.4445032	121.1965	99.43359	61.49358	54.03222
0.4445032	121.1965	99.43359	61.49358	54.03222
0.4657085	120.8354	99.07549	61.89032	53.9931
