TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0146253	119.3109	115.3891	45.50525	54.73648
0.0896749	119.3109	115.3891	45.50525	54.73648
0.0896749	118.6289	115.23	45.5846	55.01036
0.0896749	118.6289	115.23	45.5846	55.01036
0.0896749	119.5516	115.6279	45.90199	55.16686
0.0896749	119.5516	115.6279	45.90199	55.16686
0.0896749	119.4313	115.5085	46.021	55.36248
0.0896749	119.0301	115.3095	45.82264	55.51899
0.0896749	119.0301	115.3095	45.82264	55.51899
0.1053692	118.7894	114.7923	46.1797	55.24511
0.1053692	118.7894	114.7923	46.1797	55.24511
0.1210671	118.5487	114.4342	46.33839	55.36248
0.1210671	118.7894	114.3148	46.41774	55.20598
0.1210671	118.7894	114.3148	46.41774	55.20598
0.152327	118.669	114.474	46.93349	55.24511
0.152327	119.2307	114.7923	47.2112	55.59724
0.167938	119.2307	114.7923	47.2112	55.59724
0.1835207	118.6289	114.5933	47.60793	55.51899
0.1835207	118.6289	114.5933	47.60793	55.51899
0.1991736	118.2277	114.3148	47.92532	55.63636
0.1991736	118.0673	114.1159	47.64761	55.71461
0.2304195	118.0673	114.1159	47.64761	55.71461
0.2304195	118.0271	114.3148	47.68728	55.71461
0.2304195	117.626	114.5535	47.60793	55.47986
0.2460323	117.626	114.5535	47.60793	55.47986
0.2460323	117.4254	114.0761	47.68728	55.79287
0.2773249	117.4254	114.0761	47.68728	55.79287
0.2773249	117.1445	114.7127	47.56826	55.63636
0.2773249	117.4254	114.474	47.52859	55.59724
0.3241352	117.4254	114.474	47.52859	55.59724
0.3241352	117.626	114.5933	47.40957	55.40161
0.3554019	118.2277	115.23	47.01284	55.40161
0.3554019	118.2277	115.23	47.01284	55.40161
0.3710265	118.1876	115.031	46.97316	55.36248
0.3710265	118.1876	115.031	46.97316	55.36248
0.3866244	118.0271	115.031	47.13186	55.32336
0.4022459	118.1074	115.4289	47.2112	55.40161
0.4022459	118.1074	115.4289	47.2112	55.40161
0.4178735	117.7463	114.9514	47.44924	55.71461
0.4333449	117.9469	114.9116	47.48891	55.79287
0.4491205	117.9469	114.9116	47.48891	55.79287
0.4491205	117.7864	114.9116	47.44924	55.91024
0.4806342	117.626	114.7923	47.56826	55.75374
0.4806342	117.5858	114.5933	47.60793	55.91024
0.4959966	117.5858	114.5933	47.60793	55.91024
0.4959966	117.3451	114.7127	47.48891	55.94937
0.5272236	117.3853	114.9514	47.40957	55.83199
0.5272236	117.6661	115.031	47.13186	55.75374
0.5587421	117.6661	115.031	47.13186	55.75374
0.5587421	118.4684	115.5085	47.29055	55.40161
