TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0039891	72.85428	86.62141	44.51342	54.26698
0.0049859	72.85428	86.62141	44.51342	54.26698
0.0089733	72.81416	86.46226	44.91015	54.93211
0.0289507	72.77404	85.98479	45.10852	55.16686
0.0302851	72.77404	85.98479	45.10852	55.16686
0.0538809	72.73392	85.66647	45.06884	55.32336
0.0550483	72.73392	85.66647	45.06884	55.32336
0.0589559	72.6938	85.66647	45.22754	55.55811
0.0707005	72.77404	85.58689	45.38623	55.75374
0.0707005	72.77404	85.58689	45.38623	55.75374
0.1020954	72.45309	85.22879	45.50525	55.91024
0.1020954	72.6938	84.91048	45.90199	55.87112
0.1020954	72.6938	84.91048	45.90199	55.87112
0.1177163	72.65369	85.06963	45.78296	55.87112
0.1177163	72.65369	85.06963	45.78296	55.87112
0.1489669	72.73392	85.06963	45.82264	55.40161
0.1489669	73.01475	84.91048	45.70362	55.67549
0.1645829	73.01475	84.91048	45.70362	55.67549
0.1801119	72.97463	84.79111	46.021	55.44073
0.1958279	73.29558	84.87068	45.62427	55.47986
0.1958279	73.65664	85.5471	45.70362	55.44073
0.227069	73.65664	85.5471	45.70362	55.44073
0.227069	73.77699	85.82563	45.14819	54.93211
0.2426776	74.21829	86.06436	44.55309	54.69735
0.2426776	74.49911	86.50204	43.64061	54.38435
0.2739345	74.98053	86.66121	43.60093	53.87572
0.2739345	74.98053	86.66121	43.60093	53.87572
0.2895869	75.26136	87.37741	43.16453	53.75834
0.2895869	75.54218	87.41721	42.88681	53.24971
0.3207977	76.22419	88.13341	42.68845	53.01496
0.3207977	76.22419	88.13341	42.68845	53.01496
0.3520379	76.54514	87.93446	42.7678	52.62371
0.3520379	76.54514	87.93446	42.7678	52.62371
0.3676605	76.34454	87.85489	42.68845	52.81933
0.3676605	76.34454	87.85489	42.68845	52.81933
0.3676605	76.22419	87.25805	42.92649	52.62371
0.3991425	76.22419	87.25805	42.92649	52.50633
0.3991425	76.22419	87.25805	42.92649	52.50633
0.4145425	76.06371	87.21825	43.00583	52.27158
0.4299975	75.98348	87.13868	43.00583	52.42808
0.4299975	75.98348	87.13868	43.00583	52.42808
0.4460434	75.94336	87.41721	43.08518	52.46721
0.4460434	75.94336	87.41721	43.08518	52.46721
0.4771462	76.06371	87.37741	43.32322	52.62371
0.4771462	75.70265	87.33762	43.87865	52.58458
0.4926428	75.14101	87.09888	43.95799	52.93671
0.4926428	74.98053	87.09888	43.7993	52.78021
0.524182	74.98053	87.09888	43.7993	52.78021
0.524182	74.77994	86.93973	43.7993	52.81933
0.524182	74.77994	86.93973	43.7993	52.81933
0.5395291	74.57935	87.21825	43.7993	53.28884
0.5549942	74.57935	87.41721	43.71995	53.28884
0.5710176	74.57935	87.41721	43.71995	53.28884
0.5710176	74.65958	87.09888	43.64061	53.32796
0.5710176	74.53923	87.29784	43.36289	53.44534
0.6021405	74.53923	87.29784	43.36289	53.44534
0.6021405	74.57935	87.53657	43.44224	53.36709
0.6175943	74.57935	87.53657	43.44224	53.36709
0.6175943	74.90029	87.73552	43.60093	53.40622
0.6332024	74.86018	87.77531	43.64061	53.64097
0.6491934	74.86018	87.77531	43.64061	53.64097
0.6491934	74.57935	87.93446	43.60093	53.87572
0.6644656	74.29852	87.69573	43.36289	53.91484
0.6799416	74.29852	87.69573	43.36289	53.91484
0.6799416	73.5764	87.49678	43.48191	54.11047
0.6959869	73.5764	87.49678	43.48191	54.11047
0.6959869	73.69675	87.21825	43.68028	54.42347
0.7271418	72.93452	87.01931	43.68028	54.7756
0.7271418	72.93452	87.01931	43.68028	54.7756
0.7271418	72.97463	86.89994	43.68028	54.93211
0.7425733	73.33569	87.17847	43.83897	55.44073
0.7425733	73.33569	87.17847	43.83897	55.44073
0.7738285	72.77404	86.86015	44.11669	55.75374
0.7738285	72.77404	86.86015	44.11669	55.75374
0.7738285	72.65369	86.701	43.99767	56.30149
0.8050648	72.73392	86.89994	44.03734	56.02762
0.8050648	72.73392	86.89994	44.03734	56.02762
0.8206903	72.49322	86.42247	44.31505	56.26237
0.8206903	71.89145	86.10416	44.35472	56.57537
0.8521863	71.89145	86.10416	44.35472	56.57537
0.8521863	71.65073	86.10416	44.51342	56.49712
0.8675423	71.36991	86.02457	44.47375	56.65363
0.8675423	71.5705	86.18373	44.55309	56.88838
0.9144327	71.5705	86.18373	44.55309	56.88838
0.9144327	71.45015	86.02457	44.51342	56.81013
0.9456692	72.0118	86.701	44.75146	56.96663
0.9456692	72.13216	87.09888	44.19603	56.57537
0.9456692	72.41298	87.21825	43.71995	56.458
0.977181	72.41298	87.21825	43.71995	56.458
0.977181	72.49322	87.21825	43.52159	56.34062
1.003647	72.29263	87.09888	43.2042	56.22324
1.0046214	72.29263	87.09888	43.2042	56.22324
1.0281995	72.49322	86.89994	43.00583	56.18412
1.0291957	72.77404	87.17847	42.88681	55.94937
1.0539612	72.6938	87.33762	43.00583	56.22324
1.0552853	72.6938	87.33762	43.00583	56.22324
1.0565316	72.73392	87.57636	43.16453	56.14499
1.0789754	73.29558	87.97425	42.7678	55.91024
1.0802204	73.29558	87.97425	42.7678	55.91024
1.0995163	73.17522	87.97425	43.16453	55.98849
1.0995163	73.17522	87.97425	43.16453	55.98849
1.0995163	73.25546	88.05383	43.16453	55.79287
1.1152092	73.25546	87.93446	43.04551	55.75374
1.1152092	73.25546	87.93446	43.04551	55.75374
1.146444	73.09499	87.33762	43.04551	55.51899
1.146444	72.77404	87.29784	43.08518	55.44073
1.146444	72.77404	87.29784	43.08518	55.44073
1.1776943	72.6938	87.0591	43.00583	55.32336
1.1776943	72.6938	87.0591	43.00583	55.32336
1.1933162	72.45309	86.82037	43.28355	55.47986
1.1933162	72.6938	86.97952	43.60093	55.94937
1.1933162	72.6938	86.97952	43.60093	55.94937
1.2245608	72.25251	86.97952	43.7993	56.06674
1.2245608	72.25251	86.97952	43.7993	56.06674
1.2401759	72.41298	87.09888	43.99767	56.458
1.2401759	71.97168	86.89994	44.19603	56.53625
1.2556599	71.97168	86.89994	44.19603	56.53625
1.2714223	71.73097	86.66121	44.11669	56.771
1.2714223	71.69086	86.58163	44.11669	56.73188
1.3029365	71.69086	86.58163	44.11669	56.73188
1.3029365	71.81121	86.54184	44.19603	56.73188
1.3029365	71.81121	86.54184	44.19603	56.73188
1.3182991	71.65073	86.66121	44.07701	56.458
1.3337971	72.0118	86.62141	43.91832	56.69275
1.3337971	72.0118	86.62141	43.91832	56.69275
1.3495317	71.81121	86.58163	43.95799	56.53625
1.3495317	71.77109	86.78057	44.15636	56.41887
1.3651503	71.77109	86.78057	44.15636	56.41887
1.3651503	71.85133	86.74078	44.11669	56.458
1.3963963	71.85133	86.74078	44.11669	56.458
1.3963963	71.65073	86.54184	44.11669	56.73188
1.3963963	71.41003	86.50204	44.27538	56.9275
1.4276324	71.41003	86.50204	44.27538	56.9275
1.4276324	71.1292	86.3031	44.23571	57.27963
1.4276324	70.84838	86.38268	44.27538	57.20138
1.4432717	70.84838	86.38268	44.27538	57.20138
1.4432717	70.92861	86.14394	44.47375	57.67089
1.4745196	70.92861	86.14394	44.47375	57.67089
1.4745196	71.04897	86.14394	44.3944	57.43613
1.49014	71.08909	86.14394	44.51342	57.35788
1.49014	71.08909	86.14394	44.51342	57.35788
1.5056046	71.36991	86.22353	44.51342	57.51439
1.5213746	71.49026	86.10416	44.23571	57.39701
1.5213746	71.49026	86.10416	44.23571	57.39701
1.5526216	71.20944	85.86542	44.3944	57.55351
1.5526216	71.20944	85.86542	44.3944	57.55351
1.5526216	70.80826	85.82563	44.55309	57.55351
1.5680869	70.80826	85.82563	44.55309	57.55351
1.5994903	70.64779	85.46752	44.75146	57.82739
1.5994903	70.76814	85.50732	44.83081	57.67089
1.5994903	70.76814	85.50732	44.83081	57.67089
1.6151058	70.96873	85.98479	44.59277	58.10126
1.6151058	70.96873	85.98479	44.59277	58.10126
1.6463456	71.3298	86.06436	45.14819	58.17952
1.6463456	71.49026	86.18373	45.14819	58.57077
1.6463456	71.49026	86.18373	45.14819	58.57077
1.6775911	71.24956	86.18373	44.87048	58.37514
1.6775911	71.08909	85.9052	44.79113	57.98389
1.6932156	71.08909	85.9052	44.79113	57.98389
1.6932156	70.6879	85.46752	44.63244	57.78826
1.72446	70.52744	85.50732	44.31505	57.74914
1.72446	70.52744	85.50732	44.31505	57.74914
1.7400782	70.48731	85.82563	44.23571	57.35788
1.7400782	70.84838	85.98479	44.07701	57.39701
1.7713184	71.24956	86.46226	44.07701	57.39701
1.7713184	71.24956	86.46226	44.07701	57.39701
1.8025589	72.77404	87.61615	43.44224	56.73188
1.8025589	72.77404	87.61615	43.44224	56.73188
1.81818	72.97463	87.85489	43.32322	56.37975
1.81818	72.97463	87.85489	43.32322	56.37975
1.8494253	73.17522	87.53657	43.24387	55.83199
1.8494253	73.17522	87.53657	43.24387	55.83199
1.865047	72.73392	87.25805	42.88681	55.44073
1.865047	72.49322	86.89994	43.12486	55.55811
1.8805061	72.49322	86.89994	43.12486	55.55811
1.8962908	72.53333	87.0591	42.96616	55.40161
1.8962908	72.53333	87.0591	42.96616	55.40161
1.9275344	72.65369	87.41721	42.96616	55.59724
1.9275344	73.01475	87.81509	43.2042	55.44073
1.9275344	73.01475	87.81509	43.2042	55.44073
1.9431498	73.25546	88.09362	42.88681	55.08861
1.9431498	73.25546	88.09362	42.88681	55.08861
1.9587579	73.81711	88.49152	43.12486	55.28423
1.9743959	74.05782	88.29257	43.08518	55.12773
1.9743959	74.05782	88.29257	43.08518	55.12773
1.9900153	73.93746	88.05383	42.72812	54.7756
2.0054828	73.77699	88.29257	42.88681	54.73648
2.0286707	73.77699	88.29257	42.88681	54.73648
2.030039	73.85722	87.85489	42.52975	54.42347
2.0326261	73.81711	87.97425	42.29171	54.18872
2.0539764	73.81711	87.97425	42.29171	54.18872
2.055122	73.89735	88.21299	42.33139	54.3061
2.0787751	73.89735	88.21299	42.33139	54.3061
2.0787751	74.459	88.45173	41.97433	53.91484
2.0787751	74.90029	88.84962	41.89498	53.60184
2.094393	74.90029	88.84962	41.89498	53.60184
2.094393	75.06077	89.20773	41.81564	53.91484
2.1256522	75.06077	89.20773	41.81564	53.91484
2.1256522	75.18112	89.72498	41.81564	53.71922
2.1256522	74.86018	89.44646	41.61727	53.75834
2.141292	74.86018	89.44646	41.61727	53.75834
2.141292	74.49911	89.20773	41.73629	53.83659
2.1881369	74.13805	88.41193	41.81564	53.83659
2.1881369	74.13805	88.41193	41.81564	53.83659
2.2193805	74.13805	87.89468	42.29171	54.11047
2.2193805	74.13805	87.89468	42.29171	54.11047
2.2193805	74.13805	88.25278	42.21237	54.54085
2.250624	74.05782	88.49152	42.52975	54.34523
2.250624	74.05782	88.49152	42.52975	54.34523
2.2662429	73.81711	88.33236	42.92649	54.85386
2.2818434	73.65664	88.33236	42.88681	54.93211
2.2818434	73.65664	88.33236	42.88681	54.93211
2.2974868	73.17522	87.93446	42.68845	55.01036
2.2974868	73.17522	87.93446	42.68845	55.01036
2.3287298	72.81416	87.45699	42.80747	55.24511
2.3287298	72.81416	87.09888	43.44224	55.47986
2.3443307	72.81416	87.09888	43.44224	55.47986
2.3443307	72.41298	86.74078	43.52159	55.91024
2.3755938	72.21239	86.46226	43.64061	56.02762
2.3755938	71.89145	86.50204	44.23571	56.10587
2.3755938	71.89145	86.50204	44.23571	56.10587
2.391196	71.93156	86.58163	44.31505	56.6145
