TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0020025	66.31006	77.98713	49.71062	64.59608
0.0039891	66.59171	78.18607	50.028	64.71346
0.0277402	66.18935	78.62376	49.55193	65.02647
0.0291511	65.98817	78.30544	49.75029	65.33947
0.040562	65.98817	78.30544	49.75029	65.33947
0.040562	66.10888	78.34523	49.82964	65.73073
0.040562	65.5858	78.1065	49.94866	66.04373
0.0719636	65.5858	78.1065	49.94866	66.04373
0.0719636	65.54556	78.14629	50.10735	66.55236
0.1030521	65.1432	77.94733	49.86931	66.74799
0.1030521	65.1432	77.94733	49.86931	66.74799
0.1030521	64.86154	77.74839	49.98833	66.98274
0.1188164	64.94201	77.74839	49.98833	66.98274
0.1188164	64.94201	77.54945	49.51225	66.94361
0.1500676	64.62012	77.54945	49.75029	67.13924
0.1500676	64.62012	77.54945	49.75029	67.13924
0.1500676	64.45918	77.58923	49.55193	67.29575
0.1656918	64.70059	77.86776	49.39323	66.90449
0.1656918	64.70059	77.86776	49.39323	66.90449
0.1969152	64.62012	77.86776	49.07585	66.63061
0.1969152	64.62012	77.86776	49.07585	66.63061
0.1969152	64.94201	78.18607	49.11552	66.51324
0.2280211	65.22367	78.94207	49.07585	66.35674
0.2280211	65.22367	78.94207	49.07585	66.35674
0.2437705	65.66628	79.06144	49.23454	66.27848
0.2437705	65.74674	78.94207	49.31388	66.86536
0.2594175	65.74674	78.94207	49.31388	66.86536
0.2750425	65.74674	78.58397	49.39323	66.94361
0.2750425	65.06272	77.66882	49.75029	66.94361
0.2906576	65.06272	77.66882	49.75029	67.02187
0.2906576	64.41894	77.19134	49.63127	67.25661
0.3062554	64.41894	77.19134	49.63127	67.25661
0.3218916	63.89586	76.39555	49.47258	67.49137
0.3218916	63.65444	75.99766	49.86931	67.64787
0.35299	63.65444	75.99766	49.86931	67.64787
0.35299	63.1716	75.71913	50.06768	67.92175
0.35299	63.1716	75.71913	50.06768	67.92175
0.3689877	63.49349	75.75893	50.26604	67.92175
0.3689877	63.97633	76.27618	50.86115	68
0.4000068	63.97633	76.27618	50.86115	68
0.4000068	64.29823	76.39555	50.7818	68.35052
0.4159062	64.3787	75.95787	51.29755	68.5063
0.4159062	64.3787	75.95787	51.29755	68.5063
0.4528318	63.9361	75.28145	51.89265	68.93471
