TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0205048	-74.4781	-40.64827	-95.09685	-89.55811
0.0218177	-74.4781	-40.64827	-95.09685	-89.55811
0.038697	-74.4781	-40.64827	-95.09685	-89.55811
0.0464335	-74.4781	-40.64827	-95.09685	-89.55811
0.047761	-74.4781	-40.64827	-95.09685	-89.55811
0.0728319	-74.4781	-40.64827	-95.09685	-89.55811
0.0728319	-74.4781	-40.64827	-95.09685	-89.55811
0.0890885	-74.4781	-40.64827	-95.09685	-89.55811
0.0963458	-74.4781	-40.64827	-95.09685	-89.55811
0.0975811	-74.4781	-40.64827	-95.09685	-89.55811
0.1208963	-74.4781	-40.64827	-95.09685	-89.55811
0.1208963	-74.4781	-40.64827	-95.09685	-89.55811
0.1390488	-74.4781	-40.64827	-95.09685	-89.55811
0.1457291	-74.4781	-40.64827	-95.09685	-89.55811
0.1477199	-74.4781	-40.64827	-95.09685	-89.55811
0.1707353	-74.4781	-40.64827	-95.09685	-89.55811
0.1707353	-74.4781	-40.64827	-95.09685	-89.55811
0.1880392	-74.4781	-40.64827	-95.09685	-89.55811
0.1965878	-74.4781	-40.64827	-95.09685	-89.55811
0.1977188	-74.4781	-40.64827	-95.09685	-89.55811
0.219457	-74.4781	-40.64827	-95.09685	-89.55811
0.2204556	-74.4781	-40.64827	-95.09685	-89.55811
0.2365627	-74.4781	-40.64827	-95.09685	-89.55811
0.2463988	-74.4781	-40.64827	-95.09685	-89.55811
0.2493053	-74.4781	-40.64827	-95.09685	-89.55811
0.2705751	-74.4781	-40.64827	-95.09685	-89.55811
0.2715573	-74.4781	-40.64827	-95.09685	-89.55811
0.294916	-74.4781	-40.64827	-95.09685	-89.55811
0.2957792	-74.4781	-40.64827	-95.09685	-89.55811
0.2983694	-74.4781	-40.64827	-95.09685	-89.55811
0.3196605	-74.4781	-40.64827	-95.09685	-89.55811
0.3216555	-74.4781	-40.64827	-95.09685	-89.55811
0.3539312	-74.4781	-40.64827	-95.09685	-89.55811
0.3673056	-74.4781	-40.64827	-95.09685	-89.55811
0.369877	-74.4781	-40.64827	-95.09685	-89.55811
0.3891178	-74.4781	-40.64827	-95.09685	-89.55811
0.396381	-74.4781	-40.64827	-95.09685	-89.55811
0.3974266	-74.4781	-40.64827	-95.09685	-89.55811
0.4156822	-74.4781	-40.64827	-95.09685	-89.55811
0.4214043	-74.4781	-40.64827	-95.09685	-89.55811
0.4444228	-74.4781	-40.64827	-95.09685	-89.55811
0.4454273	-74.4781	-40.64827	-95.09685	-89.55811
0.4476414	-74.4781	-40.64827	-95.09685	-89.55811
0.4635624	-74.4781	-40.64827	-95.09685	-89.55811
0.4635624	-74.4781	-40.64827	-95.09685	-89.55811
0.4883142	-74.4781	-40.64827	-95.09685	-89.55811
0.4964538	-74.4781	-40.64827	-95.09685	-89.55811
0.5158116	-74.4781	-40.64827	-95.09685	-89.55811
0.5214513	-74.4781	-40.64827	-95.09685	-89.55811
0.5407691	-74.4781	-40.64827	-95.09685	-89.55811
0.5463723	-74.4781	-40.64827	-95.09685	-89.55811
0.5633752	-74.4781	-40.64827	-95.09685	-89.55811
0.5714355	-74.4781	-40.64827	-95.09685	-89.55811
0.5907331	-74.4781	-40.64827	-95.09685	-89.55811
0.5907331	-74.4781	-40.64827	-95.09685	-89.55811
0.6146304	-74.4781	-40.64827	-95.09685	-89.55811
0.621447	-74.4781	-40.64827	-95.09685	-89.55811
0.6224391	-74.4781	-40.64827	-95.09685	-89.55811
0.6421367	-74.4781	-40.64827	-95.09685	-89.55811
0.6463444	-74.4781	-40.64827	-95.09685	-89.55811
0.6647984	-74.4781	-40.64827	-95.09685	-89.55811
0.671332	-74.4781	-40.64827	-95.09685	-89.55811
0.6725806	-74.4781	-40.64827	-95.09685	-89.55811
0.6950135	-74.4781	-40.64827	-95.09685	-89.55811
0.6960122	-74.4781	-40.64827	-95.09685	-89.55811
0.7154068	-74.4781	-40.64827	-95.09685	-89.55811
0.7227045	-74.4781	-40.64827	-95.09685	-89.55811
0.7451661	-74.4781	-40.64827	-95.09685	-89.55811
0.7464435	-74.4781	-40.64827	-95.09685	-89.55811
0.7661924	-74.4781	-40.64827	-95.09685	-89.55811
0.7715567	-74.4781	-40.64827	-95.09685	-89.55811
0.7741879	-74.4781	-40.64827	-95.09685	-89.55811
0.7925974	-74.4781	-40.64827	-95.09685	-89.55811
0.7964447	-74.4781	-40.64827	-95.09685	-89.55811
0.8149776	-74.4781	-40.64827	-95.09685	-89.55811
0.8149776	-74.4781	-40.64827	-95.09685	-89.55811
0.8224967	-74.4781	-40.64827	-95.09685	-89.55811
0.840157	-74.4781	-40.64827	-95.09685	-89.55811
0.840157	-74.4781	-40.64827	-95.09685	-89.55811
0.8649025	-74.4781	-40.64827	-95.09685	-89.55811
0.8649025	-74.4781	-40.64827	-95.09685	-89.55811
0.8883076	-74.4781	-40.64827	-95.09685	-89.55811
0.8964498	-74.4781	-40.64827	-95.09685	-89.55811
0.9147523	-74.4781	-40.64827	-95.09685	-89.55811
0.9147523	-74.4781	-40.64827	-95.09685	-89.55811
0.9398092	-74.4781	-40.64827	-95.09685	-89.55811
0.9455005	-74.4781	-40.64827	-95.09685	-89.55811
0.96936	-74.4781	-40.64827	-95.09685	-89.55811
0.9704769	-74.4781	-40.64827	-95.09685	-89.55811
1.0069689	-74.4781	-40.64827	-95.09685	-89.55811
1.0069689	-74.4781	-40.64827	-95.09685	-89.55811
1.0174998	-74.4781	-40.64827	-95.09685	-89.55811
1.0374424	-74.4781	-40.64827	-95.09685	-89.55811
1.0457702	-74.4781	-40.64827	-95.09685	-89.55811
1.0467628	-74.4781	-40.64827	-95.09685	-89.55811
1.0662914	-74.4781	-40.64827	-95.09685	-89.55811
1.0714392	-74.4781	-40.64827	-95.09685	-89.55811
1.0917173	-74.4781	-40.64827	-95.09685	-89.55811
1.0927489	-74.4781	-40.64827	-95.09685	-89.55811
1.111995	-74.4781	-40.64827	-95.09685	-89.55811
1.1214345	-74.4781	-40.64827	-95.09685	-89.55811
