// Start Time : 05/07/2022 10:09:08																																
// Update Rate : 100Hz																																
// Filter Profile : 46.1 human																																
// Firmware Version : 4.4.0																																
PacketCounter	Time_Of_Arrival	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Euler_X	Euler_Y	Euler_Z
16676	1657015775015	6.0573029269947	-1.50340019991813	7.58644538973766	-1.21430643318376E-15	5.20417042793042E-16	0.0110229508826922	0.0184368940358468	-0.00392967727879225	-0.00497562435239146	0.636474609375	-0.4189453125	0.220458984375	0	0	0	0.0478793155143877	-0.334034786804495	0.354216229691892	0.872157781008236	0.525903247654674	0.585878167869981	0.616581338121404	-0.649851595670755	0.74447686753747	-0.153124450385203	-0.548742815634465	-0.320157720686089	0.772256664700699	-11.2152426649932	-38.0669132027596	48.087821298793
16677	1657015775015	6.03523269392597	-1.50281723628631	7.56026477050308	1.38777878078145E-15	-1.73472347597681E-16	-0.0228918342202071	0.017533002930417	-0.00149443365419038	-0.00592199402683763	0.634033203125	-0.43115234375	0.222412109375	0	0	0	0.0513118262447801	-0.333529104531565	0.363823653882157	0.868192249328243	0.512781370612417	0.597509777926939	0.616471679182873	-0.665965727764142	0.729998890726524	-0.153594495284244	-0.541797854735903	-0.331788614662627	0.772250865835596	-11.2488757382665	-38.058933116571	49.3638908463599
16678	1657015775015	6.07288451194338	-1.48626806035804	7.5733065918275	0.00234043166614864	0.028931412265817	0.00785483398298225	0.0213002107264699	-0.00256555314638728	-0.0016735580187483	0.626953125	-0.415771484375	0.215087890625	0	0	0	0.0496420844242569	-0.33376842066918	0.359031472051568	0.87019004067761	0.519390086880971	0.591713302304171	0.616530052411129	-0.657989142772212	0.737264131060999	-0.153270639865434	-0.545237769824933	-0.326062829723296	0.772268609636032	-11.2255089588731	-38.0631809373017	48.7242056772559
16679	1657015775016	6.05074405560936	-1.48557617983263	7.54720238156541	0.00579665515701017	0.0234461371280928	-0.0260576883554204	0.0196626874309009	-0.00149256106407675	-0.00703947653151986	0.631591796875	-0.41845703125	0.223388671875	0	0	0	0.0497420626827114	-0.333737868009531	0.359033285123648	0.870195301544339	0.519428271259547	0.591656535725006	0.616552361726238	-0.658059775525505	0.73724165474678	-0.15307538777201	-0.545116137031037	-0.326216624714488	0.772289525313044	-11.2112752645757	-38.0648044516453	48.7193920423843
16680	1657015775017	6.03945165473962	-1.48262574795848	7.57981792003194	-0.0186319395736678	0.00672556195550032	-0.00828006554632132	0.0200141755740532	-0.00442748997381874	-0.00471010302702192	0.637939453125	-0.42578125	0.2138671875	0	0	0	0.0498475162851059	-0.333719679214953	0.359041996306395	0.870192648620519	0.519440041185975	0.591601217175066	0.616595526621539	-0.658141605752377	0.737208140017049	-0.152884875217552	-0.545006119589859	-0.326392644110715	0.772292801649751	-11.1976285831877	-38.0679457900659	48.7160922504544
16681	1657015775018	6.07728024617363	-1.46601093924806	7.59271090901573	-0.0159761682607243	0.0356343487685165	0.0224667759290096	0.0184325233014934	-0.00392678968533649	-0.00497264524365594	0.6357421875	-0.42626953125	0.2197265625	0	0	0	0.049943062044444	-0.333702433327078	0.359050136573839	0.870190425120571	0.519451370835791	0.591551739305503	0.616633451137264	-0.658216224633648	0.737177379959866	-0.152711859737663	-0.544905198145371	-0.326551757306775	0.772296753090425	-11.1852204477339	-38.0707058695877	48.7130967365715
16682	1657015775018	6.04395670050444	-1.50661552425053	7.60056356396029	-0.00983987030767717	-0.0179877606425815	0.0141864443471587	0.0185586347782714	-0.00249336880783461	-0.00427577721331961	0.623046875	-0.427001953125	0.21923828125	0	0	0	0.0500360676884992	-0.333678753907678	0.359061661220115	0.870189407291736	0.51946642526494	0.591511362883159	0.616659501347845	-0.658295253750114	0.737142230744246	-0.15254078321377	-0.544795367007226	-0.326704207554027	0.772309762241782	-11.1728220830272	-38.0726018184136	48.7103344097005
16683	1657015775019	6.05205492349234	-1.4787424027765	7.54749335791141	0.00583986896489814	0.0233746127853381	-0.0260575429547512	0.0162998785436182	-0.00392697947642271	-0.00385339790544565	0.6279296875	-0.41796875	0.21923828125	0	0	0	0.0501204665351162	-0.3336656114113	0.359071106120746	0.870185692450209	0.519470401021494	0.59147012601577	0.616695704941633	-0.658364030458407	0.737111759167052	-0.152391134572246	-0.544708459509425	-0.326847586083396	0.772310397191651	-11.1621275180734	-38.0752368177336	48.7081364653552
16684	1657015775019	6.06306184113569	-1.47492467879585	7.60638240393769	-0.0220708732904752	0.0121861098120967	0.0256325718599335	0.0186839647004449	-0.00105932985336815	-0.0035789526589292	0.6328125	-0.421875	0.2158203125	0	0	0	0.0502103821226294	-0.333635608522866	0.359086192193279	0.870185787535517	0.519488774603418	0.591439459106379	0.616709639354692	-0.658447344680975	0.737072048206463	-0.152223158669448	-0.544590219654754	-0.326992602308806	0.772332396505353	-11.1498226736673	-38.0762510287855	48.7056587084941
16685	1657015775020	6.07146880045536	-1.48912191315604	7.55493057770384	0.0207451381850998	0.0220832403269817	-0.00675675059528657	0.0215900908658687	-0.00492398442644924	-0.00444393405476299	0.63330078125	-0.42138671875	0.219482421875	0	0	0	0.050320572700455	-0.333617151124793	0.359101634606222	0.870180126446022	0.519491224997032	0.591390599402644	0.616754429322777	-0.658541823831819	0.737027711972475	-0.152029003972532	-0.544473629678559	-0.327180853233805	0.772334872876951	-11.1359223593827	-38.0795111451592	48.7031777230181
16686	1657015775021	6.056798760337	-1.50122101911127	7.56836246212838	0.0146430711828358	-0.00137336660170142	-0.00359109045716721	0.0157474043658559	-0.00442633519239934	-0.00247037490396489	0.6357421875	-0.414794921875	0.21826171875	0	0	0	0.0504027946509115	-0.333607680887388	0.359115455959582	0.870173294715057	0.51948400908776	0.591355840123432	0.616793834805454	-0.658614877858367	0.736991295164639	-0.151889017098526	-0.544392144474657	-0.327325680635446	0.772330947088633	-11.1259795900902	-38.0823794625088	48.7019025359471
16687	1657015775022	6.05336553581036	-1.47236398647186	7.54768930784439	0.00585882350713062	0.0233287142382767	-0.0260574447661259	0.0178772551927887	-0.00442460509379012	-0.00358820874891239	0.632568359375	-0.425537109375	0.2236328125	0	0	0	0.0504945059814694	-0.333593926019338	0.359128547439991	0.870167848062851	0.519483557873292	0.591314909622059	0.616833454635822	-0.658693551593121	0.736953982558659	-0.151728812954474	-0.544297380288521	-0.327483595390042	0.772330794777383	-11.1145389951887	-38.0852634956287	48.6999608124398
16688	1657015775022	6.04597402849742	-1.49705324463639	7.60084857337851	-0.00982655204572833	-0.0180824653939395	0.0141862838638094	0.0178764494533208	-0.00442405712319752	-0.00358778687116737	0.6337890625	-0.4248046875	0.213134765625	0	0	0	0.0505882604179109	-0.33358130868169	0.359140827613375	0.870162171291812	0.519482752878781	0.591270928482912	0.616876291157666	-0.658772120939459	0.736917387698139	-0.15156535349834	-0.544203052301628	-0.32764531560684	0.772328676812201	-11.1028925125408	-38.0883818083036	48.6978917057992
16689	1657015775023	6.05800715163858	-1.4965456300835	7.56832126464468	0.0146373673607083	-0.00142189676924425	-0.0035910888588635	0.0182986711809928	-0.00535620077648247	-0.00566443724880934	0.63232421875	-0.423828125	0.2236328125	0	0	0	0.0506869401558448	-0.333570319085496	0.359145346597158	0.870158776511761	0.519490924485615	0.591211633167245	0.616926238852587	-0.658842268372256	0.736890908230491	-0.151389084062701	-0.544110324091706	-0.32781182738724	0.772323352645676	-11.0903747805918	-38.0920179514634	48.6945956130948
16690	1657015775024	6.07744715833723	-1.50865574446911	7.5754116480536	0.029523561640751	-0.00273042393516311	0.0157096823496765	0.0154907590977547	-0.00729064182093149	-0.0038594217021086	0.6259765625	-0.419677734375	0.2236328125	0	0	0	0.0507750171714467	-0.333574229442355	0.3591520585506	0.870149372189652	0.519476064581611	0.591157402081076	0.616990716535958	-0.658906350992627	0.736863392940211	-0.151244043737998	-0.54404690877569	-0.32797144099661	0.772300262166357	-11.0803356238059	-38.0967121310097	48.692802146866
16691	1657015775026	6.04739909009562	-1.49228706983858	7.60065214118726	-0.00983643173894689	-0.0181125358183052	0.0141862186007717	0.0185508769300477	-0.00248850324388305	-0.00427347121760466	0.629638671875	-0.42626953125	0.21923828125	0	0	0	0.0508673234848503	-0.333550656921946	0.359163772800669	0.870148182194283	0.519490687149056	0.591117749696619	0.617016395210862	-0.658985066353551	0.736827799418154	-0.151074406593593	-0.543937595950499	-0.328122842847317	0.772312949336852	-11.0680375004179	-38.0985817038191	48.6900967284713
