TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.0023688	100.6997	99.36343	70.09048	81.328
0.0034126	100.3937	98.96991	70.52436	81.6
0.0446987	99.43757	98.02546	71.62877	82.61028
0.0476476	99.43757	98.02546	71.62877	82.61028
0.0487825	97.10461	95.38889	73.28539	85.21371
0.0672492	96.07199	94.05093	74.19257	86.06857
0.0672492	96.07199	94.05093	74.19257	86.06857
0.0985256	94.58043	92.39815	75.25754	87.89486
0.0985256	94.58043	92.39815	75.25754	87.89486
0.1077798	94.27447	91.96528	75.41531	88.20571
0.1236978	94.08324	91.76852	75.73086	87.97257
0.1236978	94.08324	91.76852	75.73086	87.97257
0.1504565	93.96851	91.80787	76.28307	88.51657
0.1504565	93.96851	91.80787	76.28307	88.51657
0.1735332	93.93026	91.88657	76.59861	88.74972
0.1735332	93.73903	91.61111	77.15081	88.90514
0.2050801	93.35658	91.33565	77.70302	89.17714
0.2061294	92.74466	91.02084	78.37355	89.41029
0.2231392	92.74466	91.02084	78.37355	89.41029
0.2231392	92.28571	90.43056	79.00464	89.488
0.249583	91.52081	90.19444	79.28074	89.83772
0.249583	91.13836	90.03704	79.55685	90.07085
0.2745691	91.13836	90.03704	79.55685	90.07085
0.2745691	90.90889	90.03704	79.83295	89.83772
0.2819365	90.90889	90.19444	79.67517	89.488
0.3050261	90.90889	90.19444	79.67517	89.488
0.3068743	91.06187	90.27315	79.95128	89.79886
0.3300071	91.06187	90.27315	79.95128	89.79886
0.3318695	91.02362	90.43056	79.87239	89.91543
0.3318695	90.94713	90.66666	79.67517	90.14857
0.3487115	90.94713	90.66666	79.67517	90.14857
0.3568709	91.13836	90.78472	79.87239	90.032
0.3741438	91.10011	91.33565	79.55685	89.83772
0.3741438	91.10011	91.33565	79.55685	89.83772
0.3843745	90.71766	91.02084	80.14849	90.73143
0.4016813	90.71766	91.02084	80.14849	90.73143
0.4068723	89.72328	89.68287	80.9768	91.664
0.4241544	88.76715	88.22685	81.45012	92.67429
0.4318762	88.76715	88.22685	81.45012	92.67429
0.4333099	87.69629	86.65278	82.12065	93.60686
0.4516486	86.39595	85.35416	82.75174	94.69485
0.4568679	86.39595	85.35416	82.75174	94.69485
0.4741409	85.13386	84.44907	83.69838	95.93829
0.4741409	85.13386	84.44907	83.69838	95.93829
0.4832664	84.52193	83.50463	84.01392	97.104
0.5040906	84.02475	82.99306	84.36891	97.88114
0.5068751	84.02475	82.99306	84.36891	97.88114
0.5241508	83.75703	82.91435	84.92111	98.34743
0.5318422	83.79527	82.91435	84.80279	98.61943
0.5332275	83.79527	82.91435	84.80279	98.61943
0.5526833	83.83352	83.07176	85.07889	98.89143
0.556848	83.83352	83.07176	85.07889	98.89143
0.5741311	83.87177	82.71759	85.39443	99.47429
0.5818556	83.75703	82.63889	85.59164	99.74628
0.5991424	83.75703	82.63889	85.59164	99.74628
0.6068459	83.6423	82.56019	85.78886	99.70743
0.6241219	83.79527	82.56019	85.67053	99.62971
0.6318716	83.9865	82.48148	85.47332	99.16343
0.6550036	83.9865	82.48148	85.47332	99.16343
0.6568383	84.13948	82.71759	85.51276	98.54172
0.6568383	84.44544	83.26852	85.11833	98.26971
0.6736889	84.44544	83.26852	85.11833	98.26971
0.6876958	84.7514	83.34722	85	97.88114
0.7051223	85.28684	83.74074	84.88167	97.25943
0.7078643	85.28684	83.97685	84.7239	97.06514
0.7250476	85.28684	83.97685	84.7239	97.06514
0.7318688	85.32508	84.17361	84.76334	96.832
0.7550089	85.70753	83.9375	85.15778	97.376
0.7568391	85.70753	83.9375	85.15778	97.376
0.7593352	85.32508	83.70139	85.51276	97.57028
0.7766821	84.86614	83.38657	85.63109	97.60915
0.7766821	84.86614	83.38657	85.63109	97.60915
0.8018228	84.52193	82.9537	85.86775	97.84229
0.8062508	84.13948	82.63889	85.94663	97.88114
0.8072856	84.13948	82.63889	85.94663	97.88114
0.8231108	83.5658	81.8912	86.53828	98.34743
0.8231108	83.5658	81.8912	86.53828	98.34743
0.8487329	83.1451	81.53704	86.53828	98.42514
0.8487329	83.37458	81.34028	86.61717	98.69714
0.8582846	83.37458	81.34028	86.61717	98.69714
0.8777338	83.29809	81.57639	86.81438	98.61943
0.8818418	83.37458	81.96991	86.77494	98.61943
0.8992033	83.37458	81.96991	86.77494	98.26971
0.9068533	84.10123	82.40278	87.0116	98.15314
0.930035	84.10123	82.40278	87.0116	98.15314
0.9314618	83.83352	82.36343	87.24826	98.15314
0.954887	83.41283	82.44213	87.2877	98.192
0.9559232	83.29809	82.48148	87.5638	98.34743
0.9740601	83.10686	82.36343	87.20882	98.11429
0.9740601	83.10686	82.36343	87.20882	98.11429
0.9824915	83.06862	82.36343	86.85383	98.07543
1.004619	83.06862	82.36343	86.85383	98.07543
1.0055688	83.18335	82.59954	86.7355	97.95885
1.0225117	83.33633	82.63889	86.81438	97.68686
1.0307533	83.33633	82.63889	86.81438	97.68686
1.0317558	83.37458	83.03241	86.77494	97.57028
1.0553857	83.37458	83.03241	86.77494	97.57028
1.056381	83.33633	83.22916	86.77494	97.84229
1.0750355	83.37458	83.30787	87.05104	97.88114
1.0816537	83.37458	83.30787	87.05104	97.88114
1.0826513	83.1451	82.9537	87.5638	98.54172
1.0999306	82.91563	82.24537	88.07657	99.008
1.106656	82.91563	82.24537	88.07657	99.008
1.1251763	82.22722	81.96991	88.03712	99.31886
1.1251763	82.22722	81.96991	88.03712	99.31886
1.1511883	81.76828	81.45834	87.68214	99.51315
1.1511883	81.76828	81.45834	87.68214	99.51315
1.1737212	81.27109	80.98611	87.76102	100.0571
1.1737212	80.4297	80.94676	88.07657	100.6011
1.1832715	80.4297	80.94676	88.07657	100.6011
1.2016877	80.20023	80.55324	88.27378	101.6114
1.2016877	80.20023	80.55324	88.27378	101.6114
1.2236874	79.77953	80.31713	88.27378	102.0777
1.2236874	79.62655	80.19907	88.51044	102.4274
1.2332912	79.62655	80.19907	88.51044	102.4274
1.2515914	79.66479	79.84491	88.11601	102.9326
1.2515914	79.32059	79.6088	88.35267	103.2046
1.2741954	79.32059	79.6088	88.35267	103.2046
1.2818543	79.32059	79.17593	88.66821	103.904
1.2843473	79.32059	79.17593	88.66821	103.904
1.317147	79.12936	79.01852	88.86543	103.7874
1.317147	79.35883	79.29398	88.51044	103.2823
1.3553536	80.08549	80.43519	88.15545	102.3109
1.3563766	80.08549	80.43519	88.15545	102.3109
1.3781498	80.88864	81.02546	87.76102	101.5337
1.3812665	81.69179	81.7338	87.2877	101.2617
1.3823677	82.26546	82.52084	87.24826	99.90171
1.3981714	82.26546	82.52084	87.24826	99.90171
1.4066097	82.57143	82.91435	86.7355	99.12457
1.4248923	82.99213	83.30787	86.57773	98.58057
1.4316042	82.99213	83.30787	86.57773	98.58057
1.4486011	82.87739	83.11111	87.09048	98.69714
1.4566604	82.87739	83.11111	87.09048	98.69714
1.4576546	82.49494	82.48148	87.16937	99.08572
1.4734629	82.18898	81.69444	87.44547	99.39657
1.4816553	82.18898	81.69444	87.44547	99.39657
1.4987574	81.69179	81.14352	87.87935	99.70743
1.5066638	81.30933	80.43519	88.66821	100.5234
1.5076568	81.30933	80.43519	88.66821	100.5234
1.5255492	80.81215	79.84491	89.2993	101.0674
1.53184	80.81215	79.84491	89.2993	101.0674
1.5504193	80.16198	78.86111	89.65429	102.0389
1.557693	79.74128	78.03472	90.2065	102.3109
1.5749529	79.39707	77.6412	90.4826	102.6994
1.5818719	79.32059	77.5625	90.67982	102.7383
1.5992146	79.32059	77.5625	90.67982	102.7383
1.6068658	79.35883	77.52315	90.79814	102.6994
1.6091193	79.35883	77.52315	90.79814	102.6994
1.6266772	79.66479	77.71991	90.79814	102.8937
1.6318481	79.70303	78.11343	90.87703	102.5051
1.6491183	79.70303	78.11343	90.87703	102.5051
1.6568523	79.85602	78.15278	90.56149	102.3109
1.6578449	80.62093	78.78241	90.36427	102.1166
1.6737419	80.62093	78.78241	90.36427	102.1166
1.6818497	80.7739	78.90046	90.28539	101.8834
1.6991318	80.7739	78.90046	90.28539	101.8834
1.6991318	80.73566	78.5463	89.85151	102.1943
1.7093473	80.69741	78.78241	90.12761	102.1943
1.7266763	80.69741	78.78241	90.12761	102.1943
1.7318416	80.65916	78.74306	89.89095	101.6891
1.7491023	80.65916	78.74306	89.89095	101.6891
1.7568447	80.3532	78.78241	89.77262	101.7669
1.7593393	80.65916	78.86111	89.69373	102.0777
1.776683	80.65916	78.86111	89.69373	102.0777
1.7815128	80.4297	78.82176	89.2993	102.6994
1.8003663	80.58268	78.93981	88.86543	102.6994
1.8068392	80.58268	78.93981	88.86543	102.6994
1.8093493	80.73566	79.33334	88.7471	102.544
1.8266815	80.73566	79.33334	88.7471	102.544
1.8318467	81.30933	79.41204	88.03712	102.1554
1.849118	81.65354	80.19907	87.48492	101.5337
1.8568468	81.65354	80.19907	87.48492	101.5337
1.8602179	82.18898	80.63194	86.97216	101.3006
1.877679	82.26546	80.94676	86.14385	100.7177
1.8824751	82.26546	80.94676	86.14385	100.7177
1.8997205	82.87739	81.93056	85.82831	100.4069
1.9064658	82.87739	81.93056	85.82831	100.4069
1.9075886	83.5658	82.56019	85.39443	99.94057
1.9301833	84.4072	83.34722	84.64501	99.47429
1.9311766	84.4072	83.34722	84.64501	99.47429
1.9694198	85.13386	83.89815	83.93504	98.69714
1.9708768	85.86052	84.72454	83.18562	97.92
1.9999421	86.70191	85.03935	82.47564	97.41486
2.0055915	87.1991	85.27546	82.4362	96.94857
2.0245325	87.31384	85.66898	82.39675	96.24915
2.0245325	87.73454	85.59028	82.23898	95.78286
2.0492903	88.11699	86.02315	81.72622	95.00571
2.0492903	88.76715	86.77084	81.56844	94.656
2.0737868	88.76715	86.77084	81.56844	94.656
2.0737868	89.07311	87.24306	81.33179	94.112
2.0817212	88.92014	87.36111	81.17401	93.87886
2.0997999	88.92014	87.36111	81.17401	93.87886
2.0997999	89.1496	87.28241	80.81902	93.49029
2.1236679	89.76153	87.59722	80.38515	93.10172
2.1236679	89.76153	87.59722	80.38515	93.10172
2.1326311	90.37345	87.87269	80.26682	92.67429
2.1482774	90.37345	87.87269	80.26682	92.67429
2.1482774	90.48819	88.30556	80.14849	92.208
2.1800967	90.75591	88.34491	80.18793	92.01372
2.1811001	90.75591	88.34491	80.18793	92.01372
2.1824991	91.02362	88.06944	80.38515	91.85828
2.1959416	91.10011	87.67593	80.50348	91.89714
2.1959416	91.10011	87.67593	80.50348	91.89714
2.2181122	90.98537	87.43981	81.09513	91.85828
2.2181122	90.67941	87.0463	81.17401	92.05257
2.2332608	90.67941	87.0463	81.17401	92.05257
2.2526938	90.71766	86.81019	81.56844	91.81943
2.2526938	90.71766	86.81019	81.56844	91.81943
2.279796	90.56468	86.61343	81.72622	92.44114
2.279796	90.56468	86.57407	81.56844	91.97485
2.2825891	90.56468	86.57407	81.56844	91.97485
2.3050227	90.71766	87.0463	81.2529	91.50857
2.3064954	91.17661	87.2037	80.85847	90.73143
2.3235049	91.17661	87.2037	80.85847	90.73143
2.3314383	91.78853	87.63657	80.93736	90.38171
2.3486832	91.78853	87.63657	80.93736	90.38171
2.3568487	91.90326	87.71528	80.89791	90.77029
2.3568487	91.71204	87.40046	81.2529	90.80914
2.3737389	91.71204	87.40046	81.2529	90.80914
2.3827187	91.52081	87.24306	81.68678	91.19772
2.4000818	91.29134	86.69213	81.92343	90.96457
2.4068497	91.29134	86.69213	81.92343	90.96457
2.4068497	90.87064	86.02315	82.55453	91.392
2.4237393	90.87064	86.02315	82.55453	91.392
2.4318537	90.33521	85.31481	83.10673	91.664
2.4492149	89.34084	84.29166	84.01392	92.82971
2.4568494	89.34084	84.29166	84.01392	92.82971
2.4568494	88.65242	83.34722	85.11833	93.64571
2.4737461	88.00225	82.875	85.43388	93.64571
2.4818571	88.00225	82.875	85.43388	94.22857
2.4992253	87.35208	82.56019	85.86775	94.53943
2.5068627	87.35208	82.56019	85.86775	94.53943
2.5068627	87.04612	82.52084	86.26218	94.85029
2.523729	86.39595	82.16666	86.4594	94.96686
2.5318701	86.39595	82.16666	86.4594	94.96686
2.5487872	85.36333	81.45834	87.2877	96.44343
