TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.1480262	92.018	91.84722	76.91415	89.68229
0.2859066	92.018	91.84722	76.91415	89.68229
0.2859066	91.75028	91.53241	76.9536	89.91543
0.2859066	91.75028	91.53241	76.9536	89.91543
0.2859066	91.71204	91.2963	77.07192	89.99314
0.2859066	91.71204	91.09954	77.26914	90.304
0.2859066	91.71204	91.09954	77.26914	90.304
0.2859066	91.86501	91.13889	77.58469	90.38171
0.2859066	92.05624	91.13889	77.74246	90.38171
0.2859066	92.05624	90.94213	77.74246	90.49828
0.2859066	91.90326	90.82407	77.5058	90.42057
0.2859066	91.90326	90.82407	77.5058	90.42057
0.2859066	92.24747	91.25694	77.5058	90.42057
0.2859066	92.62992	91.13889	77.58469	90.65372
0.2859066	92.62992	91.13889	77.58469	90.65372
0.2859066	92.51518	91.25694	77.82134	90.61486
0.2859066	92.51518	91.25694	77.82134	90.61486
0.2859066	92.89764	90.98148	77.82134	90.73143
0.2859066	92.59167	91.06019	77.90023	90.77029
0.2859066	92.59167	91.06019	77.90023	90.77029
0.2859066	92.40045	90.3912	77.78191	90.80914
0.2859066	91.78853	90.15509	77.97912	91.04228
0.2859066	91.78853	90.15509	77.97912	91.04228
0.2859066	91.40607	89.13194	78.17633	91.78057
0.2859066	91.40607	89.13194	78.17633	91.78057
0.2859066	90.64117	88.46296	78.76798	92.51886
0.2859066	90.02924	87.51852	79.04408	93.49029
0.2859066	90.02924	87.51852	79.04408	93.49029
0.2859066	89.83802	86.73148	79.55685	93.95657
0.3016219	89.53206	86.29861	79.71461	94.61714
0.3073049	89.53206	86.29861	79.71461	94.61714
0.3250173	90.06749	86.21991	80.26682	94.96686
0.3324081	90.06749	86.21991	80.26682	94.96686
0.3349143	90.06749	85.9838	80.74014	94.69485
0.3517317	89.91451	85.31481	81.17401	95.43314
0.3517317	89.91451	85.31481	81.17401	95.43314
0.3902843	89.53206	84.44907	81.80511	95.93829
0.3902843	89.53206	84.44907	81.80511	95.93829
0.3986036	88.99663	83.42593	82.4362	95.62743
0.4304295	88.49944	83.03241	82.67285	95.43314
0.4314279	88.26997	83.15046	83.22506	95.58857
0.4337918	88.26997	83.15046	83.22506	95.58857
0.4496186	88.19347	82.44213	83.85615	96.48228
0.4496186	87.81102	81.85185	84.64501	96.90971
0.4747608	87.81102	81.85185	84.64501	96.90971
0.4747608	86.96963	81.45834	85.07889	97.76457
0.484386	86.96963	81.45834	85.07889	97.76457
0.5002859	86.51069	80.94676	85.35499	98.07543
0.5002859	86.08999	80.6713	85.47332	98.15314
0.5252889	86.08999	80.6713	85.47332	98.15314
0.5252889	85.82227	80.27778	85.94663	98.26971
0.5503016	85.78403	80.27778	85.94663	98.26971
0.5503016	85.78403	80.12037	85.78886	98.34743
0.5748579	85.86052	80.35648	85.94663	98.464
0.5748579	86.24297	80.47454	86.06496	98.42514
0.6012659	86.81665	80.55324	86.38051	98.30857
0.6012659	86.81665	80.55324	86.38051	98.30857
0.6079789	86.93138	81.06481	86.30162	97.76457
0.6247907	87.12261	81.06481	85.82831	97.76457
0.6247907	87.12261	81.02546	85.82831	97.25943
0.6497283	87.42857	81.02546	85.82831	96.90971
0.6497283	87.42857	81.02546	85.82831	96.90971
0.6586963	87.42857	80.90741	85.43388	96.79314
0.6792336	87.69629	81.49769	85.2761	96.21029
0.6792336	87.69629	81.49769	85.2761	96.21029
0.6996967	88.19347	81.77315	84.7239	96.13257
0.6996967	88.19347	81.77315	84.7239	96.13257
0.7099521	88.23172	82.56019	84.29002	95.58857
0.7273833	88.92014	82.99306	84.13225	95.35543
0.7273833	88.92014	82.99306	84.13225	95.35543
0.7553919	89.34084	83.58334	83.73782	95.04457
0.7573345	90.10574	84.05556	83.30395	94.61714
0.7598582	90.10574	84.05556	83.30395	94.61714
0.7812557	90.25872	84.21296	83.2645	94.46172
0.7824737	90.71766	84.40972	82.55453	93.91772
0.8041149	90.71766	84.40972	82.55453	93.91772
0.8041149	91.21485	84.96065	82.00232	93.296
0.8087759	91.21485	84.96065	82.00232	93.296
0.8272227	91.40607	85.90509	81.33179	92.98515
