TIMESTAMP	BottomLeftCalcul_SensorsKG	BottomRightCalcul_SensorsKG	TopLeftCalcul_SensorsKG	TopRightCalcul_SensorsKG
0.1536453	112.5174	93.06713	40.79208	51.06812
0.3341146	112.9381	93.30324	40.83168	51.10704
0.3341146	112.9381	93.30324	40.83168	51.10704
0.3341146	113.0911	93.26389	40.83168	51.18489
0.3341146	112.7851	93.34259	40.75248	50.95134
0.3341146	112.5557	93.22454	40.87129	50.95134
0.3341146	112.5557	93.22454	40.87129	50.95134
0.3341146	112.4409	93.4213	40.75248	51.14597
0.3341146	112.4409	93.26389	40.71287	50.99027
0.3341146	112.4409	93.26389	40.71287	50.99027
0.3341146	112.4027	93.5787	40.75248	51.14597
0.3341146	112.4027	93.5787	40.75248	51.14597
0.3341146	112.0967	93.38194	40.67327	51.06812
0.3341146	112.4409	93.53935	40.9505	51.22381
0.3341146	112.4409	93.53935	40.9505	51.22381
0.3341146	112.0585	93.46065	40.75248	51.22381
0.3341146	112.135	93.46065	40.83168	51.18489
0.3341146	112.135	93.46065	40.83168	51.18489
0.3341146	112.3262	93.46065	40.91089	51.41843
0.3341146	112.2497	93.93287	40.9505	51.26274
0.3341146	111.7908	93.38194	41.06931	51.10704
0.3341146	111.7908	93.38194	41.06931	51.10704
0.3341146	111.9438	93.65741	40.87129	51.57413
0.3341146	111.8673	93.5	40.55445	51.26274
0.3341146	111.8673	93.5	40.55445	51.26274
0.3341146	112.2115	93.69676	40.63366	51.34058
0.3341146	112.2115	93.69676	40.63366	51.34058
0.3341146	111.8673	93.73611	40.63366	51.30166
0.3341146	111.9055	93.97222	40.59406	51.37951
0.3341146	111.9055	93.97222	40.59406	51.37951
0.3341146	111.982	94.05093	40.51485	51.5352
0.3341146	111.829	94.28704	40.43564	51.14597
0.3341146	111.829	94.28704	40.43564	51.14597
0.3508838	112.0202	94.52315	40.55445	51.26274
0.3592903	112.0202	94.52315	40.55445	51.26274
0.3778556	111.829	94.16898	40.55445	51.30166
0.3844636	111.3701	94.32639	40.43564	51.37951
0.4016535	111.1789	94.20834	40.55445	51.57413
0.4097695	110.9876	94.24769	40.39604	51.57413
0.4271236	110.9876	94.24769	40.39604	51.57413
0.4347729	110.9876	94.16898	40.47525	51.72982
0.4534854	110.7964	94.16898	40.63366	51.8466
0.4598188	110.5669	94.32639	40.47525	52.00229
